dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.95,0.95,0,0.00938482,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.9895,1,0,1,-0.201721,-0.0151705,-0.0913371,-0.127325,-0.0359044
0.5,0.95,0.95,1,0.107307,2,2,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.92898,1,0,1,-0.265861,-0.113134,-0.172123,0.142606,-0.0359044
0.5,0.95,0.95,2,0.244966,4,4,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98779,1,0,1,-0.158967,-0.222962,0.0270431,-0.0257919,-0.0454834
0.5,0.95,0.95,3,0.266612,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01144,0,1,1,-0.103734,0.0147373,0.00374913,-0.0543351,0.0610561
0.5,0.95,0.95,4,0.28764,7,7,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.88473,0,1,1,-0.165646,-0.197091,0.210492,-0.0260789,-0.091142
0.5,0.95,0.95,5,0.292497,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00623,0,1,1,-0.0856544,0.00598182,0.0618238,-0.0781591,0.164245
0.5,0.95,0.95,6,0.315859,5,5,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99697,1,0,1,-0.103734,0.0547769,-0.0976316,-0.11719,0.0368119
0.5,0.95,0.95,7,0.378876,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00208,0,1,1,-0.220891,-0.120814,-0.0185401,-0.0487804,-0.140814
0.5,0.95,0.95,8,0.454092,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.09668,0,1,1,-0.265861,-0.113134,0.0605632,-0.107758,-0.0359044
0.5,0.95,0.95,9,0.462799,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.91881,1,0,1,-0.281983,-0.0883619,-0.146671,0.144416,-0.000331521
0.5,0.95,0.95,10,0.464111,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00105,1,0,1,-0.265184,0.113234,-0.0770194,0.0466634,0.0240752
0.5,0.95,0.95,11,0.475549,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03562,0,1,1,-0.184453,0.14582,0.131515,-0.0179544,-0.170817
0.5,0.95,0.95,12,0.498547,22,22,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.89545,0,1,1,-0.330036,-0.194043,-0.0185401,0.0572065,-0.0964895
0.5,0.95,0.95,13,0.577519,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.14737,1,0,1,-0.156947,-0.178153,0.0961511,0.0621391,-0.0393992
0.5,0.95,0.95,14,0.597335,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.07549,1,0,1,-0.131184,-0.148438,0.0865283,-0.0173405,-0.028711
0.5,0.95,0.95,15,0.612049,14,14,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02042,1,0,1,-0.158872,0.0119639,-0.181519,-0.0151555,0.0544565
0.5,0.95,0.95,16,0.636367,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13028,0,1,1,-0.336262,-0.0122495,-0.122776,-0.00351722,-0.157402
0.5,0.95,0.95,17,0.659384,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.04689,1,0,1,-0.126216,0.0722576,0.0277028,-0.0335855,-0.02319
0.5,0.95,0.95,18,0.694997,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03562,0,1,1,-0.281983,0.00598182,-0.0716329,0.144416,-0.000331521
0.5,0.95,0.95,19,0.737327,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.11307,1,0,1,-0.265184,-0.0907317,-0.127861,0.0376117,0.0690592
0.5,0.95,0.95,20,0.781373,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01431,0,1,1,-0.338977,-0.148438,0.0865283,0.10242,0.207231
0.5,0.95,0.95,21,0.840969,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.87925,0,1,1,-0.197446,-0.0769901,0.00101381,0.0409821,0.00455191
0.5,0.95,0.95,22,0.941448,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.01546,1,0,1,0.0542201,0.000794876,0.0618238,-0.0637461,0.164245
0.5,0.95,0.95,23,0.947843,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.07833,0,1,1,-0.0740519,0.00352305,0.0222461,0.0733456,-0.0874632
0.5,0.95,0.95,24,0.95181,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.0183,1,0,1,-0.1537,-0.157355,-0.181519,0.0582,0.254649
0.5,0.95,0.95,25,2.24497,4,4,-1,-1,1,-1,1,1,1,0,1,1,0,0,2.24497,-4.98779,1,0,0,-0.158967,-0.222962,0.0270431,-0.0257919,-0.0454834
0.5,0.95,0.95,26,4.00938,21,21,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.9895,0,0,1,-0.201721,-0.0151705,-0.0913371,-0.127325,-0.0359044
0.5,0.95,0.95,27,4.10731,2,2,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.92898,1,0,1,-0.265861,-0.113134,-0.172123,0.142606,-0.0359044
0.5,0.95,0.95,28,4.26661,9,9,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.01144,0,0,1,-0.103734,0.0147373,0.00374913,-0.0543351,0.0610561
0.5,0.95,0.95,29,4.28764,7,7,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.88473,0,1,1,-0.165646,-0.197091,0.210492,-0.0260789,-0.091142
