dForagingSD,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1473,438.083,21,21,-1,-1,1,-1,0,0,121,46,32,75,0,1,-1,-4.99899,-0.0636564,0.0654322,14,8,1
0.5,1474,438.963,13,13,-1,-1,1,-1,0,1,124,58,26,66,0,1,-1,-5,-0.163591,0.0202015,7,7,1
0.5,1475,439.367,7,7,-1,-1,1,-1,0,1,120,41,47,79,0,1,-1,-4.9301,-0.0179966,0.0340398,16,9,1
0.5,1476,440.6,11,11,-1,-1,1,-1,1,1,126,63,30,63,0,1,-1,-5.08048,-0.065687,-0.0127983,4,4,1
0.5,1477,441.963,13,13,-1,-1,1,-1,1,0,125,58,27,67,0,1,-1,-5,-0.163591,0.0202015,6,7,1
0.5,1478,442.083,21,21,-1,-1,1,-1,0,0,122,46,33,76,0,1,-1,-4.99899,-0.0636564,0.0654322,14,9,1
0.5,1479,442.367,7,7,-1,-1,1,-1,1,1,121,41,48,80,0,1,-1,-4.9301,-0.0179966,0.0340398,15,9,1
0.5,1480,443.6,11,11,-1,-1,1,-1,1,0,127,64,30,63,0,1,-1,-5.08048,-0.065687,-0.0127983,4,4,1
0.5,1481,445.367,7,7,-1,-1,1,-1,1,0,122,42,48,80,0,1,-1,-4.9301,-0.0179966,0.0340398,14,8,1
0.5,1482,445.963,13,13,-1,-1,1,-1,0,0,126,59,27,67,0,1,-1,-5,-0.163591,0.0202015,6,8,1
0.5,1483,446.083,21,21,-1,-1,1,-1,0,0,123,46,33,77,0,1,-1,-4.99899,-0.0636564,0.0654322,14,10,1
0.5,1484,447.6,11,11,-1,-1,1,-1,0,1,128,65,30,63,0,1,-1,-5.08048,-0.065687,-0.0127983,5,4,1
0.5,1485,449.367,7,7,-1,-1,1,-1,0,0,123,43,48,80,0,1,-1,-4.9301,-0.0179966,0.0340398,14,9,1
0.5,1486,449.963,13,13,-1,-1,1,-1,0,0,127,59,27,68,0,1,-1,-5,-0.163591,0.0202015,7,8,1
0.5,1487,450.083,21,21,-1,-1,1,-1,0,0,124,46,33,78,0,1,-1,-4.99899,-0.0636564,0.0654322,14,11,1
0.5,1488,450.6,11,11,-1,-1,1,-1,1,1,129,65,31,64,0,1,-1,-5.08048,-0.065687,-0.0127983,4,4,1
0.5,1489,453.367,7,7,-1,-1,1,-1,0,0,124,43,48,81,0,1,-1,-4.9301,-0.0179966,0.0340398,15,9,1
0.5,1490,453.6,11,11,-1,-1,1,-1,1,1,130,66,31,64,0,1,-1,-5.08048,-0.065687,-0.0127983,4,4,1
0.5,1491,453.963,13,13,-1,-1,1,-1,0,0,128,59,28,69,0,1,-1,-5,-0.163591,0.0202015,7,9,1
0.5,1492,454.083,21,21,-1,-1,1,-1,0,1,125,46,33,79,0,1,-1,-4.99899,-0.0636564,0.0654322,15,11,1
0.5,1493,456.083,21,21,-1,-1,1,-1,1,1,126,46,34,80,0,0,456.083,-4.99899,-0.0636564,0.0654322,15,11,0
0.5,1494,456.6,11,11,-1,-1,1,-1,1,0,131,67,31,64,0,1,-1,-5.08048,-0.065687,-0.0127983,2,4,1
0.5,1495,457.367,7,7,-1,-1,1,-1,0,1,125,43,49,82,0,1,-1,-4.9301,-0.0179966,0.0340398,16,9,1
0.5,1496,457.963,13,13,-1,-1,1,-1,0,0,129,59,28,70,0,1,-1,-5,-0.163591,0.0202015,7,10,1
0.5,1497,460.367,7,7,-1,-1,1,-1,1,0,126,43,50,83,0,1,-1,-4.9301,-0.0179966,0.0340398,16,9,1
0.5,1498,460.6,11,11,-1,-1,1,-1,0,1,132,68,31,64,0,1,-1,-5.08048,-0.065687,-0.0127983,2,5,1
0.5,1499,461.963,13,13,-1,-1,1,-1,0,0,130,59,28,71,0,1,-1,-5,-0.163591,0.0202015,7,11,1
0.5,1500,463.6,11,11,-1,-1,1,-1,1,0,133,68,31,65,0,1,-1,-5.08048,-0.065687,-0.0127983,2,5,1
0.5,1501,464.367,7,7,-1,-1,1,-1,0,0,127,44,50,83,0,1,-1,-4.9301,-0.0179966,0.0340398,17,9,1
0.5,1502,465.963,13,13,-1,-1,1,-1,0,1,131,59,28,72,0,1,-1,-5,-0.163591,0.0202015,7,12,1
0.5,1503,467.6,11,11,-1,-1,1,-1,0,0,134,69,31,65,0,1,-1,-5.08048,-0.065687,-0.0127983,3,5,1
0.5,1504,468.367,7,7,-1,-1,1,-1,0,0,128,44,51,84,0,1,-1,-4.9301,-0.0179966,0.0340398,17,10,1
0.5,1505,468.963,13,13,-1,-1,1,-1,1,0,132,59,28,73,0,1,-1,-5,-0.163591,0.0202015,7,10,1
0.5,1506,471.6,11,11,-1,-1,1,-1,0,0,135,69,32,66,0,1,-1,-5.08048,-0.065687,-0.0127983,4,5,1
0.5,1507,472.367,7,7,-1,-1,1,-1,0,1,129,44,51,85,0,1,-1,-4.9301,-0.0179966,0.0340398,17,11,1
0.5,1508,472.963,13,13,-1,-1,1,-1,0,1,133,60,28,73,0,1,-1,-5,-0.163591,0.0202015,7,11,1
0.5,1509,475.367,7,7,-1,-1,1,-1,1,0,130,44,51,86,0,1,-1,-4.9301,-0.0179966,0.0340398,16,11,1
0.5,1510,475.6,11,11,-1,-1,1,-1,0,0,136,69,33,67,0,1,-1,-5.08048,-0.065687,-0.0127983,5,5,1
0.5,1511,475.963,13,13,-1,-1,1,-1,1,1,134,60,28,74,0,1,-1,-5,-0.163591,0.0202015,6,11,1
