dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,9590.27,2847003,-0.00788123,0.0604675,-0.0552897,0.062224,-4.99135,0.0780245,1038,8029,1,0.214476,2,3.32415,2,3.09548,5,5.92284
0.5,9600.27,2849988,-0.00771079,0.0607468,-0.0556261,0.0623615,-4.99113,0.0771892,1040,4258,1,0.228035,1,2.36707,1,2.21766,3,3.85136
0.5,9610.27,2853003,-0.00729012,0.0612862,-0.0557827,0.062537,-4.99129,0.0770521,1040,4683,1,0.228035,2,2.33731,2,2.18906,4,4.06829
0.5,9620.27,2856014,-0.00665663,0.0615079,-0.0559834,0.0629399,-4.99084,0.0774813,1041,5112,1,0.225832,2,2.47629,2,2.34862,4,4.35592
0.5,9630.27,2859012,-0.00585682,0.0614199,-0.0550485,0.0621417,-4.98983,0.077678,1037,5560,1,0.221359,2,2.60749,2,2.46069,4,4.62169
0.5,9640.27,2862053,-0.00576501,0.0614795,-0.0562087,0.062703,-4.98912,0.0781148,1035,5972,1,0.216795,2,2.71054,2,2.56554,4,4.79614
0.5,9650.27,2865076,-0.00545094,0.0614271,-0.0555268,0.0628926,-4.98763,0.0776211,1039,6410,1,0.221359,2,2.8178,2,2.66402,4,5.04153
0.5,9660.27,2868094,-0.00505937,0.0615337,-0.0562517,0.062792,-4.98744,0.0768676,1041,6816,1,0.221359,2,2.94941,2,2.74882,4,5.30556
0.5,9670.27,2871127,-0.00614461,0.0619834,-0.0568114,0.0627346,-4.98617,0.0771042,1038,7226,1,0.209762,2,3.04204,2,2.77615,4,5.43829
0.5,9680.27,2874143,-0.00548074,0.0614237,-0.0573593,0.0628595,-4.9874,0.0763603,1041,7679,1,0.216795,2,3.1029,2,2.91822,4,5.62726
0.5,9690.27,2877166,-0.00498683,0.0617806,-0.0575616,0.0626408,-4.98783,0.0763877,1040,8070,1,0.214476,2,3.11673,2,3.0427,4,5.76281
0.5,9700.27,2880166,-0.00557128,0.0617133,-0.057992,0.0628948,-4.98872,0.0773041,1042,4299,1,0.232379,1,2.14196,1,2.28823,3,3.71241
0.5,9710.27,2883214,-0.00506859,0.0616493,-0.0588062,0.0637912,-4.98827,0.0769372,1046,4712,1,0.240832,1,2.38453,2,2.28583,4,3.99812
0.5,9720.27,2886258,-0.00499328,0.0624948,-0.0585958,0.0644613,-4.98872,0.0776886,1045,5154,1,0.238747,2,2.32379,2,2.44233,4,4.30407
0.5,9730.27,2889288,-0.00406493,0.0624318,-0.0595668,0.0645337,-4.98803,0.0780952,1039,5589,1,0.212132,2,2.43475,2,2.58167,4,4.56563
0.5,9740.27,2892280,-0.00333893,0.0631301,-0.0593969,0.0645588,-4.98731,0.0779837,1031,6005,1,0.192354,2,2.5948,2,2.67264,4,4.81664
0.5,9750.27,2895273,-0.00386909,0.0632744,-0.0597479,0.0648889,-4.98892,0.0793486,1032,6459,1,0.194936,2,2.745,2,2.77579,4,5.07799
0.5,9760.27,2898279,-0.00292899,0.0632893,-0.0598345,0.064157,-4.98832,0.0793925,1031,6897,1,0.197484,2,2.8808,2,2.93939,4,5.4025
0.5,9770.27,2901279,-0.00250564,0.0623435,-0.0598249,0.0636571,-4.98714,0.0800309,1033,7285,1,0.181659,2,2.94601,2,3.08788,4,5.61462
0.5,9780.27,2904251,-0.00127557,0.062348,-0.0593627,0.0635368,-4.98638,0.0791711,1031,7698,1,0.181659,2,3.09354,2,3.21279,5,5.80793
0.5,9790.27,2907242,-2.83441e-05,0.0628346,-0.05879,0.0630631,-4.98621,0.0790367,1029,8109,1,0.176068,2,3.20889,2,3.30923,5,6.04996
0.5,9800.27,2910254,0.00010478,0.0624549,-0.0581965,0.0623989,-4.98654,0.0786996,1030,4284,1,0.178885,1,2.33131,1,2.25211,3,3.85292
0.5,9810.27,2913250,0.000210927,0.0616971,-0.0587094,0.0616183,-4.98666,0.0777234,1029,4714,1,0.181659,2,2.22913,2,2.1783,4,3.93573
0.5,9820.27,2916245,0.00125285,0.0615493,-0.0594567,0.0616005,-4.98672,0.0774764,1031,5133,1,0.181659,2,2.27024,2,2.33152,4,4.12311
0.5,9830.27,2919231,0.000153785,0.0612438,-0.0598978,0.0615155,-4.98783,0.0784489,1033,5547,1,0.192354,2,2.40873,2,2.4294,4,4.38155
0.5,9840.27,2922251,0.000684696,0.0610659,-0.0603586,0.0616639,-4.98892,0.0772902,1036,5993,1,0.2,2,2.5708,2,2.53041,4,4.66112
0.5,9850.27,2925270,0.00147202,0.0606806,-0.0616457,0.0631204,-4.98851,0.0773628,1037,6431,1,0.202485,2,2.65857,2,2.64443,4,4.88825
0.5,9860.27,2928276,0.000570611,0.0610955,-0.0611247,0.0625428,-4.98713,0.0774594,1032,6860,1,0.184391,2,2.7291,2,2.73587,4,5.0834
0.5,9870.27,2931267,0.000715192,0.0611602,-0.0612633,0.0633174,-4.98745,0.0774987,1037,7271,1,0.197484,2,2.88894,2,2.8674,4,5.35892
0.5,9880.27,2934300,0.00159322,0.0602902,-0.0611623,0.0631869,-4.98735,0.0780957,1038,7678,1,0.2,2,2.92592,2,2.89396,4,5.44775
0.5,9890.27,2937329,0.00126964,0.0598877,-0.0609861,0.0615827,-4.98773,0.0789555,1037,8072,1,0.197484,2,3.01048,2,2.96783,4,5.58614
0.5,9900.27,2940332,0.000628254,0.0599208,-0.0612804,0.0618464,-4.98776,0.078777,1041,4233,1,0.207364,1,2.12014,1,2.1536,3,3.54923
0.5,9910.27,2943366,0.00115168,0.0595807,-0.0606355,0.0620361,-4.98753,0.0808657,1039,4651,1,0.207364,2,2.07051,1,2.36326,4,3.76457
0.5,9920.27,2946378,0.00140913,0.0601265,-0.0610415,0.0619935,-4.98826,0.080659,1036,5089,1,0.194936,2,2.16125,2,2.17669,4,3.87208
0.5,9930.27,2949389,-1.59787e-05,0.0613883,-0.0607207,0.0615431,-4.98788,0.0805031,1033,5523,1,0.181659,2,2.32551,2,2.3013,4,4.1328
0.5,9940.27,2952394,0.000487847,0.0615351,-0.059666,0.0615361,-4.98785,0.0815676,1031,5930,1,0.181659,2,2.45092,2,2.4294,4,4.41509
0.5,9950.27,2955396,-5.96534e-05,0.0605566,-0.0598517,0.0614905,-4.98774,0.0807922,1033,6363,1,0.187083,2,2.5004,2,2.52923,4,4.56169
0.5,9960.27,2958413,0.000244636,0.0613317,-0.059617,0.0610645,-4.98728,0.0810502,1033,6813,1,0.181659,2,2.62564,2,2.6205,4,4.80156
0.5,9970.27,2961430,-0.000618755,0.0614791,-0.0593579,0.0617757,-4.9872,0.080296,1032,7255,1,0.178885,2,2.68514,2,2.64896,4,4.91457
0.5,9980.27,2964439,-0.000225846,0.0616748,-0.0594474,0.0627914,-4.98586,0.0801533,1033,7657,1,0.187083,2,2.76496,2,2.79625,4,5.15112
0.5,9990.27,2967426,-0.000709674,0.0608917,-0.0585008,0.0622481,-4.98623,0.0808733,1034,8084,1,0.189737,2,2.79553,2,2.84218,4,5.22829
