event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
1415,88.4336,6,293,232,162,1,11,0,1,0,0,72.8991,1,-1,-5,0,0,1,0,116
1416,88.4404,6,590,404,53,1,159,1,0,0,0,85.1038,1,-1,-5,0,-0.00224007,0,0,117
1417,88.4828,6,595,170,93,1,247,1,0,0,0,85.3242,1,-1,-5,0,0,0,0,117
1418,88.4972,7,87,54,31,1,93,0,1,3,6,44.9997,1,-1,-5,0,-0.00224007,6,3,39
1419,88.5021,1,447,187,212,1,241,0,0,0,1,79.6709,1,-1,-5,0,-0.00224007,7,6,59
1420,88.5192,6,565,446,18,1,290,1,1,0,0,84.7057,1,-1,-5,0,0,0,0,117
1421,88.5341,6,191,92,60,1,37,1,0,1,3,61.0291,1,-1,-5,0,0,0,0,117
1422,88.5541,9,197,9,-1,1,72,0,0,1,2,64.7739,1,-1,-5,0,0,2,5,20
1423,88.5685,7,336,67,38,1,411,0,0,0,0,80.328,1,-1,-5,0,0,7,3,39
1424,88.5994,7,199,142,116,1,205,1,1,3,3,67.702,1,-1,-5,0.0280902,0,6,3,40
1425,88.603,6,322,133,73,1,332,1,1,0,2,73.1188,1,-1,-5,0.0018077,0,0,0,117
1426,88.6042,6,287,168,107,1,212,0,1,1,1,69.4171,1,-1,-5,0,0,1,0,117
1427,88.608,1,343,252,195,1,72,1,1,1,2,71.9455,1,-1,-5,0,-0.0392998,6,6,60
1428,88.6184,6,193,136,39,1,153,0,0,1,5,58.1533,1,-1,-5,0,0.0111003,1,1,117
1429,88.6315,1,520,189,116,1,502,1,0,0,0,85.3302,1,-1,-5,0,0,5,6,61
1430,88.6468,7,7,-1,-1,1,-1,1,0,6,11,0,1,-1,-4.97263,0,-0.00224007,5,3,41
1431,88.6536,6,422,180,116,1,125,1,0,0,1,77.4135,1,-1,-5,0,0,0,1,118
1432,88.6837,7,583,199,205,1,65,1,1,0,0,85.2067,1,-1,-5,0.0280902,0,4,3,42
1433,88.71,2,83,14,16,1,62,0,0,5,6,38.4177,1,-1,-5,0,0,12,9,18
1434,88.7109,6,19,6,-1,1,16,0,0,6,11,4.62331,1,-1,-5,0,0,1,1,118
1435,88.718,6,200,109,11,1,147,1,1,2,4,63.3011,1,-1,-5,0,0,0,1,119
1436,88.7182,1,324,115,15,1,237,1,1,0,0,71.046,1,-1,-5,0,0,5,5,61
1437,88.737,6,381,151,123,1,248,0,0,1,1,75.7519,1,-1,-5,0,0.0337745,0,2,119
1438,88.7449,6,122,94,43,1,27,0,1,0,3,49.4905,1,-1,-5,0,0,0,3,119
1439,88.7481,1,373,68,16,1,149,1,1,0,0,74.4544,1,-1,-5,0,0,4,5,62
1440,88.7714,8,214,8,-1,1,253,1,1,1,1,79.3944,0,88.7714,-5,-0.0345845,0,1,2,5
1441,88.7767,2,119,89,73,1,16,0,0,5,6,46.9947,1,-1,-5,0,0,12,10,18
1442,88.8009,1,537,96,106,1,75,0,1,0,0,84.3933,1,-1,-5,0,0,4,6,62
1443,88.8056,6,232,136,39,1,162,1,0,2,2,62.7969,1,-1,-5,0,0,0,2,119
1444,88.8484,1,95,1,-1,1,15,0,0,2,5,39.4663,1,-1,-5,0,0,5,6,62
1445,88.8856,6,584,279,71,1,386,1,1,0,0,85.1736,1,-1,-5,0,0,0,1,119
1446,88.8916,1,466,115,15,1,198,0,1,0,0,81.4653,1,-1,-5,0,0,5,7,62
1447,88.9018,6,144,78,53,1,33,0,1,2,5,50.8176,1,-1,-5,0,-0.00224007,0,2,119
1448,88.9205,7,54,7,-1,1,31,1,1,4,7,31.0912,1,-1,-5,0,-0.00224007,3,3,43
1449,88.9345,6,431,224,182,1,388,1,1,0,0,78.3312,1,-1,-5,0,0,0,1,119
1450,88.9465,1,414,209,280,1,257,1,0,1,1,77.8993,1,-1,-5,0,0,4,7,63
1451,88.9899,6,572,92,60,1,391,0,1,0,0,84.8893,1,-1,-5,0,0.0452745,0,2,119
1452,89.0202,4,398,150,146,1,268,0,1,0,1,76.4955,1,-1,-5,0,0,2,5,15
1453,89.0602,6,92,30,15,1,60,0,1,6,7,38.6517,1,-1,-5,0,0,1,2,119
1454,89.0897,8,97,8,-1,1,240,1,0,2,2,72.333,1,-1,-5,0,0,0,2,6
1455,89.1506,6,433,292,43,1,307,1,1,0,1,79.0827,0,89.1506,-5,0,0,1,2,118
1456,89.1714,7,82,20,42,1,34,0,1,4,7,41.9146,1,-1,-5.01476,0,-0.00224007,3,4,43
1457,89.1827,1,320,242,240,1,182,1,0,1,3,71.4461,1,-1,-5,0,0,4,6,63
1458,89.2094,0,207,0,-1,1,49,0,0,2,3,62.0378,1,-1,-5,0,0,2,3,18
1459,89.2119,6,599,191,37,1,152,1,1,0,0,85.4817,1,-1,-5,0,0,1,1,118
1460,89.2215,6,141,109,11,1,117,1,0,2,4,49.7338,1,-1,-5,0,0,0,1,119
1461,89.2235,6,562,379,76,1,161,0,1,0,0,84.4735,1,-1,-5,0,0,0,2,119
1462,89.2387,2,400,2,-1,1,506,0,0,0,0,84.6059,1,-1,-5,0,0,12,11,18
1463,89.239,6,404,127,44,1,53,0,1,1,1,76.6098,1,-1,-5,0,0,1,2,119
1464,89.2509,6,103,19,16,1,77,1,0,1,5,45.7597,1,-1,-5,0,0,1,1,119
1465,89.2713,1,337,148,38,1,266,1,1,1,3,71.7571,1,-1,-5,0,0,4,5,63
1466,89.2714,0,32,0,-1,1,52,0,0,1,5,50.5307,1,-1,-5,0,0,3,3,18
1467,89.2838,6,457,232,162,1,328,1,1,0,0,79.4087,1,-1,-5,0,-0.00177792,1,0,119
1468,89.2961,6,446,59,39,1,18,0,1,1,1,79.4582,1,-1,-5,0,0,1,1,119
1469,89.3094,1,179,115,15,1,201,0,0,0,2,66.1075,1,-1,-5,0,0,4,6,63
1470,89.3632,6,533,79,27,1,31,1,1,0,0,82.8971,1,-1,-5,0,0,1,0,119
1471,89.3758,6,522,141,117,1,66,0,0,0,0,82.2675,1,-1,-5,0,0,1,1,119
1472,89.3946,0,40,0,-1,1,57,1,0,1,4,42.5265,1,-1,-5,0,0,2,3,19
1473,89.4261,1,509,209,280,1,391,1,1,0,1,82.5372,0,89.4261,-5,0,0,4,6,62
1474,89.429,2,230,2,-1,1,106,0,1,0,1,69.0086,1,-1,-5,0,0,13,11,18
1475,89.4565,1,216,23,16,1,91,1,1,2,3,62.242,1,-1,-5,0,0,4,5,62
1476,89.4755,6,188,69,31,1,37,0,1,4,5,57.2928,1,-1,-5,0,0,1,2,119
1477,89.4936,4,221,4,-1,1,247,0,0,1,2,66.563,1,-1,-5,0,0,2,6,15
1478,89.4976,7,540,138,123,1,469,1,1,0,0,85.5007,1,-1,-5,0,0,3,3,43
1479,89.5073,1,219,1,-1,1,237,0,1,1,1,66.6573,1,-1,-5,0,0,4,6,62
1480,89.5105,0,0,-1,-1,1,-1,0,1,6,12,0,1,-1,-5,0,0,3,3,19
1481,89.517,7,455,340,52,1,387,0,1,0,0,81.5088,1,-1,-5,0,0,4,3,43
1482,89.5439,6,424,157,107,1,128,1,1,0,1,78.0111,1,-1,-5,0,0,1,1,119
1483,89.5593,1,231,48,11,1,149,0,0,0,2,68.8983,1,-1,-5,0,0,4,7,62
1484,89.5982,9,169,121,116,1,112,1,1,1,4,65.8974,1,-1,-5,0,0,2,4,20
1485,89.5986,1,189,48,11,1,116,1,1,1,4,57.3088,1,-1,-5,0,0,3,7,63
1486,89.6024,0,497,377,304,1,484,0,0,0,0,81.7122,1,-1,-5,0,0,3,4,19
1487,89.6143,6,163,127,44,1,111,1,1,2,3,57.677,1,-1,-5,0,0,1,0,119
1488,89.6363,1,68,23,16,1,16,1,0,4,8,32.1292,1,-1,-5,0,0,2,7,64
1489,89.6475,1,415,252,195,1,397,0,1,0,0,77.9847,1,-1,-5,0,-0.0392998,3,7,64
1490,89.6591,6,409,28,37,1,124,1,0,0,0,76.6642,1,-1,-5,0,0,0,0,120
1491,89.6794,6,470,92,60,1,421,1,0,0,1,81.5584,1,-1,-5,0,0,0,0,120
1492,89.6839,1,285,131,24,1,160,1,0,1,4,67.093,1,-1,-5,0,0,2,7,65
1493,89.6847,0,251,32,52,1,246,1,0,2,2,66.7972,1,-1,-5,0,0,3,3,19
1494,89.688,1,516,252,195,1,366,1,0,0,0,82.3252,1,-1,-5,0,-0.0392998,1,7,66
1495,89.6892,2,555,83,62,1,166,1,0,0,0,86.6571,1,-1,-5,0,0,13,10,18
1496,89.696,9,196,17,16,1,153,1,1,2,3,62.4882,1,-1,-5,0,0,2,3,20
1497,89.7111,6,306,58,24,1,135,0,1,0,1,70.0862,1,-1,-5,0,0,0,1,120
1498,89.7271,6,236,168,107,1,66,1,1,1,2,62.0245,1,-1,-5,0,0,0,0,120
1499,89.7838,6,342,19,16,1,125,1,1,1,2,73.2879,1,-1,-5,0,0,0,0,120
1500,89.7909,6,279,184,53,1,71,0,0,2,2,72.9648,1,-1,-5,0,-0.00224007,0,1,120
1501,89.8083,1,369,101,91,1,100,1,0,1,2,73.956,1,-1,-5,0,0,1,6,66
1502,89.8213,1,148,105,52,1,38,1,1,3,4,55.1988,1,-1,-5,0,0,1,5,66
1503,89.8505,6,59,6,-1,1,39,0,0,2,4,31.5463,1,-1,-5,0,0,0,2,120
1504,89.8691,6,30,19,16,1,15,0,0,5,7,16.4717,1,-1,-5,0,0,1,2,120
1505,89.8872,6,172,129,70,1,76,1,1,0,2,59.6506,1,-1,-5,0,0,1,1,120
1506,89.8884,6,109,58,24,1,11,1,0,3,5,45.3629,1,-1,-5,0,0,1,0,120
1507,89.9045,9,471,380,349,1,27,0,0,0,0,85.1009,1,-1,-5,0,0,2,4,20
1508,89.9217,0,377,130,98,1,304,0,0,2,2,76.4436,1,-1,-5,0,0,4,3,19
1509,89.9439,1,525,369,100,1,100,1,1,0,0,82.9984,1,-1,-5,0,0,0,5,67
1510,89.9633,7,352,199,205,1,286,0,1,0,1,73.1491,1,-1,-5,0.0280902,0,4,4,43
1511,89.9665,7,340,87,93,1,52,1,1,2,2,74.7519,1,-1,-5,0,0,4,3,43
1512,89.9672,9,203,121,116,1,181,1,0,2,3,61.2573,1,-1,-5,0,0,2,3,20
1513,89.9704,2,177,119,16,1,86,1,1,4,5,57.1929,1,-1,-5,0,0,13,9,18
1514,89.9854,6,499,281,33,1,192,0,1,0,0,81.2809,1,-1,-5,0,0,1,1,120
1515,89.9909,6,490,279,71,1,323,1,0,1,1,81.2682,1,-1,-5,0,-0.00224007,1,0,120
1516,89.9918,6,136,92,60,1,39,1,1,4,6,48.9111,1,-1,-5,0,0,0,0,121
1517,89.9984,6,316,157,107,1,106,0,0,1,1,71.282,1,-1,-5,0,0,0,1,121
1518,90.0019,9,121,9,-1,1,116,0,1,2,3,49.2255,1,-1,-5,0,0,2,4,20
1519,90.0101,7,299,175,66,1,11,0,1,0,0,78.5012,1,-1,-5.03942,0,-0.00224007,5,3,43
1520,90.018,2,2,-1,-1,1,-1,0,1,5,13,0,1,-1,-5,0,0,13,10,18
1521,90.0348,6,292,19,16,1,43,1,1,2,2,69.6994,1,-1,-5,0,-0.0794518,0,0,121
1522,90.0659,6,593,30,15,1,345,0,1,0,0,85.2773,1,-1,-5,0,0,1,0,121
1523,90.0909,2,186,83,62,1,363,1,1,0,0,82.7904,1,-1,-5,0,0,12,10,19
1524,90.0937,7,456,258,153,1,195,1,0,0,0,83.2418,1,-1,-5,0,0,4,3,44
1525,90.1089,1,209,95,15,1,280,0,0,2,3,68.6093,1,-1,-5,0,0,1,5,67
1526,90.1113,6,463,379,76,1,137,1,0,0,0,80.0609,1,-1,-5,0,0,0,0,122
1527,90.1131,6,622,278,16,1,174,1,1,0,0,86.3984,1,-1,-5,0,0,0,0,122
1528,90.1304,6,598,188,37,1,158,0,0,0,0,85.7957,1,-1,-5,0,0,0,1,122
1529,90.1465,8,8,-1,-1,1,-1,0,0,3,9,0,1,-1,-5,0,0,0,3,6
1530,90.1791,1,399,285,160,1,388,0,0,0,1,78.0715,1,-1,-5,0,0,2,5,67
1531,90.1815,1,131,88,49,1,24,0,0,1,4,50.2339,1,-1,-5,0,0,3,5,67
1532,90.1816,1,215,148,38,1,50,1,0,0,1,68.2762,1,-1,-5,0,-0.0677664,3,4,67
1533,90.1898,6,278,202,66,1,16,1,1,1,1,67.6754,1,-1,-5,0,0,0,0,122
1534,90.1906,8,606,97,240,1,378,0,0,0,0,86.0259,1,-1,-5,0,0,0,4,6
1535,90.206,6,184,19,16,1,53,0,1,2,4,61.3694,1,-1,-5,0,0,0,1,122
1536,90.2143,8,296,8,-1,1,120,1,0,0,1,82.4341,1,-1,-5,0,0,0,3,6
1537,90.2559,6,151,58,24,1,123,1,0,2,5,52.7845,1,-1,-5,0,0,0,0,122
1538,90.2744,2,263,119,16,1,37,1,1,2,3,68.7802,1,-1,-5,0,0,11,10,20
1539,90.277,0,130,0,-1,1,98,1,0,3,4,54.0257,1,-1,-5,0,0,4,2,19
1540,90.2874,6,611,490,323,1,318,0,0,0,0,85.9927,1,-1,-5,0,-0.00224007,0,1,122
1541,90.2919,9,46,9,-1,1,16,1,1,4,5,23.2574,1,-1,-5,0,0,1,4,21
