dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
4,20,12,52.0007,5024,-5.00001,0.000187929,1000,136,1,0,1,1.28413,1,1.27397,2,1.97484,1.20882e-05,0.000370728,-2.59602e-05,0.000453931,7.1328e-06,0.000159581,5.09795e-07,0.000318689,-1.03432e-05,0.000316342
4,20,12,104.005,9352,-5,0.000335078,1000,271,1,0.0447214,1,1.25419,1,1.33828,2,2.05183,1.08895e-05,0.000441114,-3.48515e-05,0.000565865,5.63948e-06,0.000164775,-9.45595e-07,0.000354188,-1.34491e-05,0.000343277
4,20,12,156.01,13758,-5.00001,0.000419801,1004,532,1,0.0632456,1,1.80748,1,1.80361,3,2.71367,-2.48483e-06,0.000510576,-3.24963e-05,0.000586196,-9.34472e-06,0.000371575,-6.64859e-06,0.000497317,-1.15173e-06,0.000514939
4,20,12,208.001,18178,-5,0.000530668,1009,432,1,0.0948683,1,1.44049,1,1.44222,2,2.35606,-1.12946e-05,0.000768292,-3.19949e-05,0.000774887,-3.05529e-05,0.0006379,-9.70773e-06,0.00055062,3.93714e-07,0.000549707
4,20,12,260.001,22654,-4.99999,0.00079985,1006,696,1,0.0774597,1,1.95678,1,1.94602,3,2.98295,-9.65822e-06,0.000813416,-3.93851e-05,0.000728502,-4.66469e-05,0.000748727,4.66008e-06,0.000475204,-5.54166e-06,0.000601335
4,20,12,312.001,27106,-4.99998,0.000806324,1005,529,1,0.083666,1,1.54467,1,1.67212,3,2.37739,-2.37975e-05,0.000884226,-1.64971e-05,0.000727523,-5.01252e-05,0.000759124,-4.66732e-06,0.000548671,-1.69533e-05,0.000705445
4,20,12,364.001,31539,-4.99999,0.000876486,1006,797,1,0.0774597,2,1.79221,2,1.83984,4,2.99583,-1.64099e-05,0.000884518,-2.15943e-05,0.000749179,-4.79782e-05,0.000765789,-1.00739e-05,0.000608899,-1.66324e-05,0.000701588
4,20,12,416.001,35964,-4.99998,0.000942131,1010,548,1,0.1,1,1.69381,1,1.75756,3,2.55421,-2.64318e-05,0.000903539,-3.10931e-05,0.00080644,-3.35424e-05,0.000798128,-1.37986e-05,0.000836174,-1.44357e-05,0.000715429
4,20,12,468.007,40419,-4.99997,0.000977841,1007,829,1,0.122474,2,1.90499,2,1.91937,4,3.18575,-2.00547e-05,0.000945463,-3.21649e-05,0.000896331,-6.27275e-05,0.000947644,-2.11964e-05,0.000902275,1.26206e-07,0.000798237
4,20,12,520.001,44910,-4.99993,0.00111674,1010,630,1,0.1,1,1.73176,1,1.65136,3,2.50958,-2.05104e-05,0.000942519,-5.31123e-05,0.000896333,-6.0281e-05,0.000891194,-2.1816e-05,0.000933212,2.18893e-05,0.000894901
4,20,12,572.01,49436,-4.99992,0.00120836,1012,881,1,0.109545,2,1.89394,2,1.85553,4,3.12666,-3.80439e-05,0.00103189,-5.01128e-05,0.00086594,-6.33285e-05,0.000981856,-1.37976e-05,0.00100492,2.60934e-05,0.000962456
4,20,12,624.007,53867,-4.99992,0.0012265,1012,647,1,0.109545,1,1.73061,1,1.61152,3,2.39875,-4.13356e-05,0.00110689,-5.83811e-05,0.0009319,-5.98748e-05,0.00113218,-8.52457e-06,0.00103574,2.19084e-05,0.000988434
4,20,12,676.001,58419,-4.99993,0.00140494,1008,917,1,0.0894427,2,1.88839,2,1.81384,4,3.03249,-3.43006e-05,0.00110848,-5.16806e-05,0.00102625,-4.12139e-05,0.00112952,-8.22024e-07,0.00106086,3.71903e-05,0.00105995
4,20,12,728.001,62852,-4.99992,0.00145896,1009,651,1,0.0948683,1,1.80278,1,1.81218,3,2.65179,-7.40372e-05,0.00128239,-5.05544e-05,0.00105045,-4.0928e-05,0.00111335,1.68498e-05,0.00110744,2.20005e-05,0.00106162
4,20,12,780.001,67363,-4.99991,0.00141911,1012,939,1,0.109545,2,1.95832,2,1.90893,4,3.22351,-0.00010742,0.00135312,-3.39042e-05,0.000979904,-2.55102e-05,0.0011904,1.80495e-05,0.0011891,1.43104e-05,0.00109607
4,20,12,832.007,71735,-4.99989,0.00142835,1010,716,1,0.1,1,1.76267,1,1.86682,3,2.70851,-0.000104278,0.00136216,-1.53904e-05,0.000989212,-2.40107e-05,0.00122803,2.17748e-05,0.00119954,2.29177e-05,0.00108375
4,20,12,884.005,76100,-4.99989,0.00146069,1014,989,1,0.118322,2,1.83739,2,1.94885,4,3.18716,-0.000112911,0.00137858,-3.54377e-05,0.00105894,-4.55834e-05,0.00125215,2.16999e-06,0.00117695,1.03401e-05,0.00110566
4,20,12,936.001,80684,-4.99993,0.00150171,1015,702,1,0.130384,1,1.84743,1,1.88175,3,2.79643,-9.55809e-05,0.00143973,-6.83804e-05,0.00112641,-3.15217e-05,0.00124896,1.21997e-05,0.00123714,1.4386e-05,0.00102192
4,20,12,988.005,85144,-4.9999,0.00139762,1011,983,1,0.122474,2,1.99524,2,2.00524,4,3.39647,-8.92915e-05,0.00147493,-6.79427e-05,0.00113366,-4.329e-05,0.00128713,1.28313e-05,0.00126187,3.62744e-05,0.00103472
4,20,12,1040.01,89608,-4.99988,0.00143134,1015,730,1,0.130384,1,1.7975,1,1.98494,3,2.83214,-9.02078e-05,0.00150071,-5.95112e-05,0.00134196,-3.81022e-05,0.00130656,1.07566e-05,0.00131768,7.70652e-05,0.00107262
4,20,12,1092,94018,-4.99989,0.00147423,1013,981,1,0.122474,2,1.84092,2,1.92977,4,3.1348,-8.99198e-05,0.00153545,-3.79056e-05,0.00137454,-1.03656e-05,0.00133624,2.17342e-05,0.00135697,6.93823e-05,0.00113084
4,20,12,1144,98423,-4.99991,0.00155455,1014,729,1,0.134164,1,1.85769,1,1.91703,3,2.80749,-8.67725e-05,0.00142814,-3.96988e-05,0.00139218,-1.17057e-05,0.00141594,2.85097e-05,0.00160924,6.63593e-05,0.001107
4,20,12,1196,102812,-4.99991,0.00157202,1013,992,1,0.122474,2,1.89315,2,1.88175,4,3.11721,-7.15171e-05,0.0014944,-5.45489e-05,0.00149849,-2.35083e-05,0.00143666,3.52306e-05,0.00164489,5.2241e-05,0.00114804
4,20,12,1248,107370,-4.99993,0.00162496,1013,732,1,0.114018,1,2.00325,1,1.96316,3,3.03957,-8.71788e-05,0.0015927,-4.13858e-05,0.00149583,-5.74167e-07,0.00144234,-9.44644e-06,0.00163771,5.93477e-05,0.00116251
4,20,12,1300,111824,-4.99991,0.00169263,1012,1006,1,0.109545,2,1.97535,2,1.91755,4,3.31466,-8.2715e-05,0.00159473,-6.79081e-05,0.0015593,-1.98468e-05,0.00148343,-2.95402e-05,0.0017088,7.00157e-05,0.00119904
4,20,12,1352,116231,-4.99991,0.00166678,1014,750,1,0.126491,1,1.94885,1,1.9308,3,2.96209,-8.89851e-05,0.00168664,-9.28058e-05,0.00167123,-3.9329e-05,0.00150783,-3.62898e-05,0.0017323,0.000109724,0.00118405
4,20,12,1404,120723,-4.99994,0.00164772,1016,491,1,0.134164,1,1.53623,1,1.4391,2,2.40603,-7.61255e-05,0.00168259,-0.000124258,0.00166827,-8.98526e-05,0.00169287,-4.56632e-05,0.00181798,0.000146268,0.0012824
4,20,12,1456,125206,-4.99995,0.00166495,1017,750,1,0.13784,1,2.04817,1,1.9857,3,3.04171,-3.73707e-05,0.00174425,-0.000116827,0.00163958,-6.84126e-05,0.00170763,-3.71386e-05,0.00177025,0.00014869,0.00126034
4,20,12,1508.01,129680,-4.99994,0.00171827,1015,544,1,0.130384,1,1.54919,1,1.60748,3,2.35499,-1.34824e-05,0.00180254,-0.000104863,0.00166558,-4.56656e-05,0.00164552,-1.27424e-05,0.00174381,0.000179635,0.0014004
4,20,12,1560,134146,-4.99989,0.00180788,1016,798,1,0.134164,2,1.78606,2,1.89499,4,3.14118,-1.82776e-05,0.0018096,-0.000112226,0.00169339,-8.11271e-05,0.00164588,-1.32383e-05,0.00176707,0.000191303,0.00142663
4,20,12,1612,138642,-4.99988,0.00186154,1015,551,1,0.130384,1,1.61555,1,1.66313,3,2.43187,-9.23284e-06,0.00182613,-0.000145842,0.00179744,-9.35638e-05,0.00162065,-7.33936e-05,0.00186753,0.000180246,0.0014752
4,20,12,1664,143205,-4.99992,0.00180615,1016,812,1,0.134164,2,1.73609,2,1.85365,4,2.98865,-3.35791e-06,0.00189908,-0.000148742,0.00176728,-9.59329e-05,0.0016274,-7.54445e-05,0.00198265,0.000160693,0.00154737
4,20,12,1716,147589,-4.99995,0.00173561,1012,593,1,0.134164,1,1.59154,1,1.64378,3,2.40229,2.5409e-05,0.00192235,-0.000156443,0.00179277,-6.86684e-05,0.00174016,-9.91874e-05,0.00200928,0.000169763,0.00157955
4,20,12,1768,152042,-4.99994,0.00176722,1016,837,1,0.141421,2,1.82483,2,1.96723,4,3.14897,2.99537e-05,0.00193987,-0.000178981,0.00186732,-6.62063e-05,0.0016812,-9.87744e-05,0.00198298,0.000177143,0.00157063
4,20,12,1820,156563,-4.99995,0.00171843,1021,586,1,0.158114,1,1.75385,1,1.74241,3,2.58573,2.36999e-05,0.00201445,-0.000200253,0.00197399,-6.14934e-05,0.00173324,-8.60791e-05,0.00204901,0.00016225,0.00158719
4,20,12,1872,161085,-5,0.00172412,1020,869,1,0.148324,2,1.86735,2,1.9225,4,3.16781,-6.86262e-06,0.00211747,-0.000195728,0.00200604,-3.95869e-05,0.0018519,-6.20126e-05,0.00203511,0.000187114,0.0016266
4,20,12,1924,165657,-4.99996,0.00179437,1019,614,1,0.144914,1,1.76068,1,1.83739,3,2.69852,-1.85036e-05,0.00206643,-0.000197924,0.00202165,-1.63366e-05,0.00176748,-6.28178e-05,0.00206996,0.000166228,0.00165416
4,20,12,1976,170109,-4.99994,0.0016768,1018,884,1,0.141421,2,1.87403,2,1.84581,4,3.17191,-4.40684e-05,0.00202597,-0.000146178,0.00191627,1.86903e-05,0.00174684,-4.66118e-05,0.00206445,0.000173399,0.00160843
4,20,12,2028,174638,-4.99992,0.00168959,1019,655,1,0.13784,1,1.82784,1,1.79109,3,2.70241,-2.87001e-05,0.00202761,-0.000123422,0.00191907,3.56817e-05,0.00174541,-4.94558e-05,0.00203491,0.000159326,0.00166671
4,20,12,2080,179101,-4.99989,0.00179759,1017,910,1,0.130384,2,1.94113,2,1.88786,4,3.24469,-3.52595e-05,0.00212568,-9.14634e-05,0.00188456,4.50894e-05,0.00176055,-6.23427e-05,0.00205341,0.000154499,0.00171324
4,20,12,2132,183445,-4.99989,0.00175788,1018,618,1,0.134164,1,1.78997,1,1.81301,3,2.69314,-4.74793e-05,0.0022351,-6.59993e-05,0.00186181,6.69075e-05,0.00182436,-7.46555e-05,0.00201541,0.000123135,0.0016937
4,20,12,2184,187957,-4.99988,0.00173179,1014,871,1,0.126491,2,1.94808,2,1.99725,4,3.33676,-8.0129e-06,0.00227325,-0.000113576,0.00197856,5.98967e-05,0.00182762,-6.43722e-05,0.0020936,0.000155612,0.00176843
4,20,12,2236,192418,-4.9999,0.00178922,1014,660,1,0.118322,1,1.95704,1,1.85769,3,2.9225,-5.21905e-05,0.00229821,-9.74557e-05,0.00195949,4.99372e-05,0.0019459,-6.82082e-05,0.00216804,0.000150238,0.00182138
4,20,12,2288,196891,-4.99988,0.001768,1014,928,1,0.118322,2,1.97358,2,1.95627,4,3.37698,-3.66462e-05,0.0023476,-9.95415e-05,0.00196394,5.90843e-05,0.0019875,-6.34924e-05,0.00213726,0.000206473,0.00185612
4,20,12,2340,201424,-4.9999,0.00186708,1012,687,1,0.109545,1,1.85526,1,1.90604,3,2.84868,-5.45053e-05,0.00228092,-0.000103936,0.00202825,7.82094e-05,0.00204107,-5.57051e-05,0.00214553,0.000206618,0.00185737
4,20,12,2392,205861,-4.9999,0.00181457,1013,982,1,0.114018,2,1.9212,2,1.91885,4,3.2396,-0.000100926,0.00219044,-8.43179e-05,0.0021276,8.2018e-05,0.00206055,-9.34543e-05,0.00214518,0.000210373,0.0019127
4,20,12,2444,210360,-4.99992,0.00181315,1014,717,1,0.118322,1,1.93933,1,1.86949,3,2.84675,-6.22157e-05,0.00214937,-5.37306e-05,0.00203903,7.14708e-05,0.00205643,-0.00010212,0.00212583,0.000186378,0.00192886
