dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,28,4.10008,0,0,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.02591,0,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,29,4.1041,8,8,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.03183,1,1,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,30,4.11,6,6,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.0005,1,0,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,31,4.15109,13,13,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.02224,2,0,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,32,4.2211,23,23,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.99185,1,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,33,4.26075,10,10,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.04636,1,0,1,-0.100249,0.022031,0.0425368,0.103662,0.00552675
0.5,0.5,34,4.30309,12,12,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.02562,1,1,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,35,4.33714,18,18,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.01288,1,0,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,36,4.46058,24,24,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.01045,0,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,37,4.58528,2,2,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.89804,2,0,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,38,4.64173,9,9,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.11003,1,0,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,39,4.64264,15,15,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.00622,0,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
0.5,0.5,40,4.66488,4,4,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.97628,1,1,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,41,4.69185,21,21,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.96022,1,0,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,42,4.70416,19,19,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.02442,1,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,43,4.70797,17,17,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.02224,0,0,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
0.5,0.5,44,4.70986,16,16,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.01199,1,1,1,-0.0247402,0.0271146,0.133389,0.03932,-0.0787129
0.5,0.5,45,4.76102,11,11,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.96126,2,0,1,-0.15524,0.0601057,-0.0161574,-0.0134139,0.0207144
0.5,0.5,46,4.78269,5,5,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.01863,0,0,1,-0.100479,0.0271146,-0.0339583,0.113556,-0.0299462
