dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,10.0002,3146,0.000101689,0.00340462,4.04702e-05,0.00127272,-5.00003,0.000972862,990,223,0,0.996995,0,1.11848,0,1.12027,1,1.22229
0.5,1,20.0002,6100,6.10128e-05,0.00453201,9.66967e-05,0.00219718,-5.00004,0.00137316,1004,572,1,0.0632456,1,1.08028,0,1.48862,2,1.59593
0.5,1,30.0039,9010,3.06332e-05,0.00458087,9.64086e-05,0.00219391,-5.00014,0.0037161,1007,910,1,0.083666,1,1.32665,1,1.29228,2,2.05134
0.5,1,40.0043,11912,2.52027e-05,0.00483592,9.79702e-05,0.00234058,-5.00007,0.00571077,1007,1254,1,0.083666,1,1.52315,1,1.56652,3,2.2987
0.5,1,50.008,14807,5.97894e-05,0.0047011,0.00021442,0.00529674,-5.00025,0.00667205,1010,1604,1,0.1,1,1.72453,1,1.81797,3,2.64518
0.5,1,60.0092,17706,-3.37218e-05,0.00632292,0.000252837,0.00573658,-5.00026,0.00745534,1010,1974,1,0.109545,1,1.91703,1,1.97585,3,2.93922
0.5,1,70.0105,20614,9.08468e-05,0.0070748,0.000434813,0.00672405,-5.00035,0.00780538,1011,2368,1,0.104881,2,1.8711,2,1.85661,4,3.12698
0.5,1,80.0159,23520,0.00023635,0.00810153,0.000776759,0.00931082,-5.00028,0.00865037,1012,2747,1,0.109545,2,2.01321,2,1.9718,4,3.39662
0.5,1,90.0159,26435,0.000316454,0.00845137,0.000674894,0.00970681,-5.00009,0.00843291,1013,3075,1,0.114018,2,2.06543,2,2.09332,4,3.57966
0.5,1,100.016,29360,0.000365824,0.00866504,0.000540426,0.00948149,-5.00006,0.00875089,1013,2231,1,0.114018,1,1.9852,1,1.91024,3,2.97187
0.5,1,110.016,32280,0.000235699,0.00909606,0.000589744,0.0095813,-4.99995,0.00863843,1014,2581,1,0.126491,2,1.85365,2,1.87377,4,3.1504
0.5,1,120.016,35191,0.000244308,0.0090728,0.000679261,0.00999302,-5.00001,0.00941415,1016,2957,1,0.126491,2,2,2,2.09499,4,3.52151
0.5,1,130.016,38112,6.64163e-05,0.00967534,0.000438608,0.0108294,-5,0.00988909,1017,3329,1,0.130384,2,2.14149,2,2.24009,4,3.78682
0.5,1,140.018,41032,6.18492e-05,0.00970015,0.000325641,0.0104733,-4.99989,0.0102688,1016,3710,1,0.134164,2,2.20681,2,2.37866,5,3.8257
0.5,1,150.025,43950,-7.66642e-05,0.010254,0.000331697,0.0113039,-4.99997,0.0104715,1022,4094,1,0.148324,2,2.25965,2,2.54067,5,4.01684
0.5,1,160.027,46861,-0.000441105,0.0101212,0.000403367,0.0115934,-5.0001,0.011042,1019,4454,1,0.13784,2,2.39875,2,2.69054,5,4.24653
0.5,1,170.027,49779,-0.000639952,0.0105874,0.000463448,0.0119282,-5.00016,0.0116114,1016,4813,1,0.126491,2,2.58863,3,2.62126,6,4.43531
0.5,1,180.027,52672,-0.000686245,0.0109037,0.000568892,0.0116414,-5.00016,0.0114324,1016,5204,1,0.126491,3,2.54539,3,2.71256,6,4.69585
0.5,1,190.027,55598,-0.000736357,0.0107639,0.000563887,0.0116336,-4.99997,0.0111278,1017,5575,1,0.130384,3,2.61457,3,2.72635,6,4.78027
