dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,761,174.533,8,8,-1,-1,1,-1,1,1,50,25,13,25,0,1,-1,-4.9612,-0.0769498,-0.0545768,2,0,1
0.5,1,762,174.604,1,1,-1,-1,1,-1,1,1,48,17,16,31,0,1,-1,-5.01783,0,0,7,9,1
0.5,1,763,174.855,13,13,-1,-1,1,-1,0,1,51,30,11,21,0,1,-1,-5.06782,0.0562335,-0.12991,2,2,1
0.5,1,764,176.193,23,23,-1,-1,1,-1,1,0,51,27,13,24,0,1,-1,-4.96746,0.0727422,0,1,0,1
0.5,1,765,176.245,22,22,-1,-1,1,-1,1,0,51,27,8,24,0,1,-1,-4.797,0,-0.0599682,0,1,1
0.5,1,766,176.905,5,5,-1,-1,1,-1,1,0,51,27,9,24,0,1,-1,-4.97351,-0.0324419,-0.0390477,5,2,1
0.5,1,767,176.97,21,21,-1,-1,1,-1,1,1,49,19,12,30,0,1,-1,-4.93527,0.0871568,-0.00588109,7,5,1
0.5,1,768,177.258,4,4,-1,-1,1,-1,0,0,50,23,15,27,0,1,-1,-5.15306,-0.0100077,-0.00121488,3,6,1
0.5,1,769,177.533,8,8,-1,-1,1,-1,1,0,51,26,13,25,0,1,-1,-4.9612,-0.0769498,-0.0545768,1,0,1
0.5,1,770,177.604,1,1,-1,-1,1,-1,1,0,49,18,16,31,0,1,-1,-5.01783,0,0,7,8,1
0.5,1,771,177.855,13,13,-1,-1,1,-1,1,0,52,30,11,22,0,1,-1,-5.06782,0.0562335,-0.12991,2,1,1
0.5,1,772,179.97,21,21,-1,-1,1,-1,1,0,50,20,12,30,0,1,-1,-4.93527,0.0871568,-0.00588109,7,4,1
0.5,1,773,180.193,23,23,-1,-1,1,-1,0,0,52,28,13,24,0,1,-1,-4.96746,0.0727422,0,2,0,1
0.5,1,774,180.245,22,22,-1,-1,1,-1,0,0,52,28,8,24,0,1,-1,-4.797,0,-0.0599682,1,1,1
0.5,1,775,180.905,5,5,-1,-1,1,-1,0,0,52,28,9,24,0,1,-1,-4.97351,-0.0324419,-0.0390477,6,2,1
0.5,1,776,181.258,4,4,-1,-1,1,-1,0,0,51,23,15,28,0,1,-1,-5.15306,-0.0100077,-0.00121488,4,6,1
0.5,1,777,181.533,8,8,-1,-1,1,-1,0,0,52,27,13,25,0,1,-1,-4.9612,-0.0769498,-0.0545768,2,0,1
0.5,1,778,181.604,1,1,-1,-1,1,-1,0,0,50,19,16,31,0,1,-1,-5.01783,0,0,7,9,1
0.5,1,779,181.855,13,13,-1,-1,1,-1,0,1,53,31,11,22,0,1,-1,-5.06782,0.0562335,-0.12991,2,2,1
0.5,1,780,183.97,21,21,-1,-1,1,-1,0,0,51,21,12,30,0,1,-1,-4.93527,0.0871568,-0.00588109,8,4,1
0.5,1,781,184.193,23,23,-1,-1,1,-1,0,0,53,28,14,25,0,1,-1,-4.96746,0.0727422,0,3,0,1
0.5,1,782,184.245,22,22,-1,-1,1,-1,0,1,53,28,9,25,0,1,-1,-4.797,0,-0.0599682,1,2,1
0.5,1,783,184.855,13,13,-1,-1,1,-1,1,1,54,31,11,23,0,1,-1,-5.06782,0.0562335,-0.12991,2,1,1
0.5,1,784,184.905,5,5,-1,-1,1,-1,0,0,53,28,10,25,0,1,-1,-4.97351,-0.0324419,-0.0390477,7,2,1
0.5,1,785,185.258,4,4,-1,-1,1,-1,0,1,52,23,16,29,0,1,-1,-5.15306,-0.0100077,-0.00121488,4,7,1
