dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,0,0.0687527,4,4,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0.0831002,-0.0959945,0,1,1
0.5,1,1,0.0926368,10,10,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.94698,-0.0539855,0.0725455,0,1,1
0.5,1,2,0.104388,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00767,0.0460276,-0.0790966,1,0,1
0.5,1,3,0.105458,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99314,0.0739416,0.048066,1,0,1
0.5,1,4,0.116656,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.89772,-0.000254752,-0.0961259,0,1,1
0.5,1,5,0.256632,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03151,0.176034,-0.0346338,0,1,1
0.5,1,6,0.323974,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.9622,0.0725217,-0.0484462,0,1,1
0.5,1,7,0.342006,18,18,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.03176,-0.0242324,0.0529473,0,1,1
0.5,1,8,0.398424,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,0.0377333,0,1,1
0.5,1,9,0.523857,21,21,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99792,0.0831002,-0.0713418,1,0,1
0.5,1,10,0.534695,14,14,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.04883,0.0281038,-0.0132813,1,0,1
0.5,1,11,0.548086,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.91219,0,-0.0173071,1,0,1
0.5,1,12,0.656723,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.98695,0.0580711,-0.0891569,1,0,1
0.5,1,13,0.741498,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.85904,-0.0668555,-0.101663,1,0,1
0.5,1,14,0.752281,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97632,0.00689859,-0.0544317,0,1,1
0.5,1,15,0.754457,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.97269,-0.112579,-0.0746396,1,0,1
0.5,1,16,0.813172,15,15,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.08633,-0.0213322,0,1,0,1
0.5,1,17,0.818315,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98561,0.022998,0.0242454,0,1,1
0.5,1,18,0.836265,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.88923,0,-0.00352527,0,1,1
0.5,1,19,0.860861,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.06062,0.0281038,-0.0132813,0,1,1
0.5,1,20,0.886855,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03825,-0.105291,-0.156665,1,0,1
0.5,1,21,0.902779,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.04032,-0.0736025,-0.0545912,1,0,1
0.5,1,22,0.917912,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.0425,0.0565243,-0.121081,1,0,1
0.5,1,23,0.981262,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.10529,-0.0706899,-0.0474348,1,0,1
0.5,1,24,0.98637,16,16,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.04747,-0.0695396,-0.0393193,1,0,1
0.5,1,25,2.09264,10,10,-1,-1,1,-1,1,1,1,0,0,1,0,0,2.09264,-4.94698,-0.0539855,0.0725455,0,1,0
0.5,1,26,3.06875,4,4,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5,0.0831002,-0.0959945,0,0,1
0.5,1,27,3.10546,1,1,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.99314,0.0739416,0.048066,0,0,1
0.5,1,28,3.11666,6,6,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.89772,-0.000254752,-0.0961259,0,1,1
0.5,1,29,3.32397,22,22,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.9622,0.0725217,-0.0484462,0,0,1
0.5,1,30,3.34201,18,18,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.03176,-0.0242324,0.0529473,0,0,1
0.5,1,31,3.39842,5,5,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5,0,0.0377333,0,1,1
0.5,1,32,3.53469,14,14,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.04883,0.0281038,-0.0132813,1,0,1
0.5,1,33,3.7415,0,0,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.85904,-0.0668555,-0.101663,0,0,1
0.5,1,34,3.75446,12,12,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.97269,-0.112579,-0.0746396,1,0,1
0.5,1,35,3.81832,24,24,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.98561,0.022998,0.0242454,0,1,1
0.5,1,36,3.86086,11,11,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.06062,0.0281038,-0.0132813,0,0,1
0.5,1,37,3.91791,19,19,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.0425,0.0565243,-0.121081,0,0,1
0.5,1,38,3.98126,9,9,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.10529,-0.0706899,-0.0474348,0,0,1
0.5,1,39,3.98637,16,16,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.04747,-0.0695396,-0.0393193,0,0,1
0.5,1,40,4.10439,13,13,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.00767,0.0460276,-0.0790966,1,1,1
0.5,1,41,4.25663,8,8,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.03151,0.176034,-0.0346338,0,2,1
0.5,1,42,4.52386,21,21,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.99792,0.0831002,-0.0713418,1,1,1
0.5,1,43,4.54809,7,7,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.91219,0,-0.0173071,1,1,1
0.5,1,44,4.65672,17,17,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.98695,0.0580711,-0.0891569,1,1,1
0.5,1,45,4.75228,2,2,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.97632,0.00689859,-0.0544317,1,1,1
0.5,1,46,4.81317,15,15,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.08633,-0.0213322,0,2,0,1
0.5,1,47,4.83626,23,23,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.88923,0,-0.00352527,0,2,1
0.5,1,48,4.88686,20,20,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.03825,-0.105291,-0.156665,2,0,1
0.5,1,49,4.90278,3,3,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.04032,-0.0736025,-0.0545912,2,0,1
0.5,1,50,6.10546,1,1,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-4.99314,0.0739416,0.048066,0,0,1
0.5,1,51,6.32397,22,22,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.9622,0.0725217,-0.0484462,0,0,1
0.5,1,52,6.34201,18,18,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-5.03176,-0.0242324,0.0529473,0,0,1
0.5,1,53,6.75446,12,12,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-4.97269,-0.112579,-0.0746396,0,0,1
0.5,1,54,6.81832,24,24,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.98561,0.022998,0.0242454,0,0,1
0.5,1,55,6.86086,11,11,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5.06062,0.0281038,-0.0132813,0,0,1
0.5,1,56,6.91791,19,19,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.0425,0.0565243,-0.121081,0,0,1
