dForagingSD,dForagingMean,gtime,pertime_foraging,pertask_foraging,num_choices,nest_id
0.5,1,5720.16,0.5,57.1429,7,24607
0.5,1,5730.16,0.448276,52,25,24398
0.5,1,5800.16,0.388781,45.8904,146,22926
0.5,1,5800.16,0.433577,50.5102,196,22238
0.5,1,5990.22,0.319149,38.4615,13,25634
0.5,1,6040.22,0.487179,55.8824,34,25537
0.5,1,6040.22,0.555556,62.5,40,25466
0.5,1,6050.22,0.423913,49.5238,105,24557
0.5,1,6050.22,0.418605,48.9796,98,24646
0.5,1,6140.22,0.393103,46.3415,41,25876
0.5,1,6140.22,0.3,36.3636,11,26343
0.5,1,6200.22,0.52381,59.4595,37,26229
0.5,1,6230.22,0.333333,40,20,26605
0.5,1,6240.22,0.764706,81.25,16,26697
0.5,1,6250.22,0.324324,39.0244,41,26326
0.5,1,6300.22,0.487685,55.9322,59,26322
0.5,1,6350.22,0.572519,64.1026,39,26829
0.5,1,6370.22,0.492537,56.4103,39,26912
0.5,1,6490.22,0.505618,57.6923,26,27667
0.5,1,6500.22,0.428571,50,20,27806
0.5,1,6530.22,0.037037,4.87805,41,27505
0.5,1,6560.22,0.36,42.8571,7,28249
0.5,1,6570.22,0.455108,52.6882,93,26978
0.5,1,6590.22,0.471698,54.3478,46,27782
0.5,1,6650.22,0.46988,54.1667,48,28028
0.5,1,6650.22,0.524476,59.5238,42,28137
0.5,1,6690.22,0.6,66.6667,21,28633
0.5,1,6720.22,0.55102,62.069,29,28647
0.5,1,6800.22,0.543307,61.3333,75,26754
0.5,1,6950.22,0.483871,55.5556,27,29603
0.5,1,6970.22,0.428571,50,236,26530
0.5,1,7010.22,0.356643,42.5,120,28455
0.5,1,7050.22,0.352941,42.1053,19,28961
0.5,1,7060.22,0.391304,46.1538,13,30263
0.5,1,7170.22,0.418994,49.0196,51,30153
0.5,1,7190.22,0.33913,40.625,32,30506
0.5,1,7200.22,0.517241,58.8235,17,30779
0.5,1,7230.22,0.515152,58.6207,29,30739
0.5,1,7260.22,0.323077,38.8889,18,30987
0.5,1,7270.22,0.485477,55.7143,70,30314
0.5,1,7300.22,0.540984,61.1111,18,31177
0.5,1,7330.22,0.384615,45.4545,88,30270
0.5,1,7440.22,0.478261,55,20,31744
0.5,1,7470.22,0.476323,54.8077,104,30673
0.5,1,7510.22,0.428571,50,2,32301
0.5,1,7560.22,0.407895,47.8764,259,28737
0.5,1,7560.22,0.459459,53.125,96,31139
0.5,1,7600.22,0.6,66.6667,3,32622
0.5,1,7610.22,0.458824,53.0612,49,31996
0.5,1,7630.22,0.448276,52,125,30997
0.5,1,7690.22,0.50365,57.5,40,32469
0.5,1,7720.22,0.549296,61.9048,63,32296
0.5,1,7750.22,0.709091,76.4706,51,32606
0.5,1,7770.22,0.48169,55.3398,103,31891
0.5,1,7770.22,0.460674,53.2468,77,32292
0.5,1,7890.22,0.428571,50,28,33573
0.5,1,7950.22,0.661017,72.2222,18,33974
0.5,1,8000.22,0.627907,69.2308,13,34247
0.5,1,8280.22,0.310345,37.5,24,34471
0.5,1,8380.22,0.410526,48.1481,27,35659
0.5,1,8400.22,0,0,1,36117
0.5,1,8480.22,0.527559,59.8214,112,34896
0.5,1,8490.22,0.642857,70.5882,17,36298
0.5,1,8510.22,0,0,3,36560
0.5,1,8510.22,0.457627,52.9412,34,36119
0.5,1,8580.22,0.428571,50,24,36567
0.5,1,8640.22,0.509434,58.0645,31,36393
0.5,1,8650.22,0.428571,50,44,36544
0.5,1,8740.22,0.492683,56.4246,179,35009
0.5,1,8880.22,0.18232,22.9167,48,37413
0.5,1,8880.22,0.555556,62.5,16,37950
0.5,1,8890.22,0.530201,60.076,263,34430
0.5,1,8910.22,0.428571,50,2,38273
0.5,1,8930.22,0.346154,41.3793,29,37954
0.5,1,8990.22,0.542857,61.2903,31,38217
0.5,1,9040.22,0.506494,57.7778,90,37524
0.5,1,9070.22,0.586207,65.3846,104,36941
0.5,1,9120.22,0.551402,62.1053,95,37841
0.5,1,9140.22,0.493671,56.5217,69,38277
0.5,1,9140.22,0.428571,50,48,38552
0.5,1,9200.22,0.333333,40,10,39356
0.5,1,9230.22,0.36,42.8571,14,39449
0.5,1,9240.22,0.55,61.9718,213,35911
0.5,1,9350.22,0.434783,50.6329,79,38957
0.5,1,9370.22,0.410526,48.1481,27,39873
0.5,1,9400.22,0.567568,63.6364,22,40062
0.5,1,9480.22,0.402985,47.3684,19,40452
0.5,1,9490.22,0.472868,54.4643,112,39106
0.5,1,9520.22,0.446809,51.8519,81,39386
0.5,1,9530.22,0.503106,57.4468,47,40244
0.5,1,9540.22,0.471074,54.2857,105,39393
0.5,1,9560.22,0.494118,56.5657,99,39614
0.5,1,9600.22,0.5053,57.6613,248,37634
0.5,1,9640.22,0.36,42.8571,119,39581
0.5,1,9720.22,0.515493,58.6538,104,40227
0.5,1,9770.22,0.75,80,5,41897
0.5,1,9830.22,0.428571,50,2,42170
0.5,1,9850.22,0.55814,62.7451,51,41597
0.5,1,9910.22,0.497976,56.9444,72,41510
0.5,1,9970.22,0.460581,53.2374,139,40759
0.5,1,9980.22,0.428571,50,78,41715
