dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,7790.22,2310698,0.000112691,0.0550847,-0.0349606,0.0568594,-4.99122,0.0585725,1029,7692,1,0.181659,2,3.59514,2,3.35365,5,6.29714
0.5,1,7800.22,2313697,-2.15613e-05,0.055398,-0.0350509,0.0567675,-4.99139,0.0582293,1031,4073,1,0.181659,2,2.35287,2,2.15128,4,3.96157
0.5,1,7810.22,2316683,-0.000113124,0.0557018,-0.0343152,0.0559388,-4.99055,0.0584608,1033,4501,1,0.181659,2,2.56574,2,2.27552,4,4.29476
0.5,1,7820.22,2319666,-0.000853848,0.0561056,-0.0340933,0.0557165,-4.99011,0.0581442,1032,4906,1,0.178885,2,2.64216,2,2.5044,4,4.6025
0.5,1,7830.22,2322652,-0.00113078,0.0565518,-0.0343991,0.0564643,-4.9904,0.0581429,1033,5316,1,0.181659,2,2.76442,2,2.67694,5,4.77158
0.5,1,7840.22,2325614,-0.00178389,0.0568402,-0.0350405,0.0570777,-4.98985,0.0582125,1030,5709,1,0.173205,2,2.87663,2,2.86252,5,5.06705
0.5,1,7850.22,2328582,-0.000809782,0.0562349,-0.0343477,0.0559173,-4.98923,0.0589069,1026,6081,1,0.161245,2,2.97574,2,3.04072,5,5.30217
0.5,1,7860.22,2331559,-0.00134954,0.0561491,-0.0342098,0.0562176,-4.99029,0.0590534,1026,6490,1,0.161245,2,3.14516,2,3.19609,5,5.64066
0.5,1,7870.22,2334526,-0.00141748,0.0563165,-0.0343089,0.0559508,-4.99003,0.0587441,1025,6904,1,0.158114,2,3.30666,2,3.30575,5,5.91473
0.5,1,7880.22,2337474,-0.00164085,0.0551959,-0.0341983,0.0560268,-4.98953,0.0587497,1028,7280,1,0.167332,2,3.44601,2,3.3947,5,6.16157
0.5,1,7890.22,2340445,-0.000693656,0.0549045,-0.0345923,0.0565761,-4.98963,0.0586183,1029,7663,1,0.170294,2,3.54119,2,3.48253,5,6.35138
0.5,1,7900.22,2343406,-0.000699433,0.0544577,-0.0351518,0.0565755,-4.9893,0.0587375,1035,3989,1,0.187083,2,2.28101,2,2.14732,4,3.92403
0.5,1,7910.22,2346391,6.48805e-05,0.0545073,-0.0350534,0.0567264,-4.98896,0.0593648,1033,4393,1,0.181659,2,2.49499,2,2.36008,4,4.35878
