dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
4,12,12,0,0.0854787,9,9,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00193,0,1,1,-0.00219582,0.0091644,-0.00148282,-0.00610251,-0.00257015
4,12,12,1,0.141857,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00112,1,0,1,-0.00750489,0,0,0.0190414,0
4,12,12,2,0.193291,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00679,1,0,1,0.00182682,0.000992396,0,-0.00425508,0.00102451
4,12,12,3,0.240417,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,0,0,0.0113159,-0.00640112,-0.00257015
4,12,12,4,0.270515,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0,0.00793242,0.00176907,0.00743993,0
4,12,12,5,0.285143,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00381,1,0,1,0.00421295,0,0,-0.00399201,0
4,12,12,6,0.298444,12,12,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,-0.000313429,0.00580895,0.00427966,0,-0.00153901
4,12,12,7,0.301781,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.0007,0,1,1,0,0.00524961,0,0,0
4,12,12,8,0.321451,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00945,1,0,1,-0.00833892,0,0.00427966,-0.00801566,0
4,12,12,9,0.33649,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99802,1,0,1,-0.00755194,-0.00399974,0.00563959,0.00298121,0.000667929
4,12,12,10,0.399002,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00621,1,0,1,0,0.00393716,-0.00208597,0,0
4,12,12,11,0.449817,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0.0034533,0,0.00447491,0.00227196,-0.0132182
4,12,12,12,0.454434,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.98751,1,0,1,-0.00486268,0.00320528,0,0,0.00522458
4,12,12,13,0.490974,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.9959,0,1,1,0,0,0,0,0.00277076
4,12,12,14,0.513011,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99966,1,0,1,0,-0.00228313,-0.00571988,-0.00610251,-0.00257015
4,12,12,15,0.631779,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00307,0,1,1,0,0,0,0.00993269,0.00241031
4,12,12,16,0.642278,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00445,0,1,1,-0.0124095,-0.00496445,-0.00194568,-0.00137282,0.00306887
4,12,12,17,0.757074,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99339,0,1,1,0.00969767,0,-0.000280599,-0.00943524,-0.011936
4,12,12,18,0.867081,8,8,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99946,1,0,1,0.00261386,0,-0.00148282,-0.0155163,-0.0112374
4,12,12,19,0.909092,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99985,1,0,1,0,0.00426804,-0.0144672,-0.00324918,0.0137013
4,12,12,20,0.915508,22,22,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0,0.0122268,0,0,0.00159745
4,12,12,21,0.921567,6,6,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99304,1,0,1,0.00283936,0,-0.00208597,-0.00340643,0
4,12,12,22,0.954463,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0.0079147,0.00411014,0,-0.0130661,0.00585246
4,12,12,23,0.959578,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00087,0,1,1,0.00647512,0,-0.00387052,0.00708011,0
4,12,12,24,0.993766,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0,0,1.54065e-05,0.00130235,0
4,12,12,25,4.08548,9,9,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.00193,1,1,1,-0.00219582,0.0091644,-0.00148282,-0.00610251,-0.00257015
4,12,12,26,4.27052,10,10,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5,1,1,1,0,0.00793242,0.00176907,0.00743993,0
4,12,12,27,4.29844,12,12,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5,0,2,1,-0.000313429,0.00580895,0.00427966,0,-0.00153901
4,12,12,28,4.30178,16,16,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.0007,1,1,1,0,0.00524961,0,0,0
4,12,12,29,4.32145,7,7,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.00945,1,1,1,-0.00833892,0,0.00427966,-0.00801566,0
4,12,12,30,4.399,17,17,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.00621,1,1,1,0,0.00393716,-0.00208597,0,0
4,12,12,31,4.44982,18,18,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5,2,0,1,0.0034533,0,0.00447491,0.00227196,-0.0132182
4,12,12,32,4.45443,2,2,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.98751,1,1,1,-0.00486268,0.00320528,0,0,0.00522458
4,12,12,33,4.51301,19,19,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.99966,2,0,1,0,-0.00228313,-0.00571988,-0.00610251,-0.00257015
4,12,12,34,4.63178,0,0,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.00307,0,2,1,0,0,0,0.00993269,0.00241031
4,12,12,35,4.64228,14,14,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.00445,0,2,1,-0.0124095,-0.00496445,-0.00194568,-0.00137282,0.00306887
4,12,12,36,4.75707,23,23,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.99339,1,1,1,0.00969767,0,-0.000280599,-0.00943524,-0.011936
4,12,12,37,4.90909,4,4,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.99985,1,1,1,0,0.00426804,-0.0144672,-0.00324918,0.0137013
4,12,12,38,4.91551,22,22,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5,2,0,1,0,0.0122268,0,0,0.00159745
4,12,12,39,4.92157,6,6,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.99304,2,0,1,0.00283936,0,-0.00208597,-0.00340643,0
4,12,12,40,4.95446,11,11,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5,2,0,1,0.0079147,0.00411014,0,-0.0130661,0.00585246
4,12,12,41,4.99377,3,3,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5,1,1,1,0,0,1.54065e-05,0.00130235,0
4,12,12,42,8.27052,10,10,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5,1,2,1,0,0.00793242,0.00176907,0.00743993,0
4,12,12,43,8.29844,12,12,-1,-1,1,-1,0,1,2,0,0,2,0,1,-1,-5,0,3,1,-0.000313429,0.00580895,0.00427966,0,-0.00153901
4,12,12,44,8.30178,16,16,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.0007,1,2,1,0,0.00524961,0,0,0
4,12,12,45,8.32145,7,7,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.00945,2,1,1,-0.00833892,0,0.00427966,-0.00801566,0
4,12,12,46,8.399,17,17,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.00621,2,1,1,0,0.00393716,-0.00208597,0,0
4,12,12,47,8.44982,18,18,-1,-1,1,-1,0,0,2,0,2,2,0,1,-1,-5,2,1,1,0.0034533,0,0.00447491,0.00227196,-0.0132182
4,12,12,48,8.45443,2,2,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-4.98751,1,2,1,-0.00486268,0.00320528,0,0,0.00522458
4,12,12,49,8.51301,19,19,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-4.99966,2,1,1,0,-0.00228313,-0.00571988,-0.00610251,-0.00257015
4,12,12,50,8.75707,23,23,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-4.99339,2,1,1,0.00969767,0,-0.000280599,-0.00943524,-0.011936
4,12,12,51,8.90909,4,4,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-4.99985,1,2,1,0,0.00426804,-0.0144672,-0.00324918,0.0137013
4,12,12,52,8.91551,22,22,-1,-1,1,-1,0,0,2,0,2,2,0,1,-1,-5,3,0,1,0,0.0122268,0,0,0.00159745
4,12,12,53,8.99377,3,3,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5,2,1,1,0,0,1.54065e-05,0.00130235,0
4,12,12,54,12.1419,1,1,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.00112,1,0,1,-0.00750489,0,0,0.0190414,0
4,12,12,55,12.1933,20,20,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.00679,0,0,1,0.00182682,0.000992396,0,-0.00425508,0.00102451
4,12,12,56,12.2404,21,21,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5,0,1,1,0,0,0.0113159,-0.00640112,-0.00257015
4,12,12,57,12.2705,10,10,-1,-1,1,-1,0,0,3,0,1,3,0,1,-1,-5,1,3,1,0,0.00793242,0.00176907,0.00743993,0
4,12,12,58,12.2851,5,5,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.00381,0,0,1,0.00421295,0,0,-0.00399201,0
4,12,12,59,12.3365,13,13,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.99802,1,0,1,-0.00755194,-0.00399974,0.00563959,0.00298121,0.000667929
4,12,12,60,12.4498,18,18,-1,-1,1,-1,0,0,3,0,2,3,0,1,-1,-5,2,2,1,0.0034533,0,0.00447491,0.00227196,-0.0132182
4,12,12,61,12.491,15,15,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.9959,0,1,1,0,0,0,0,0.00277076
4,12,12,62,12.8671,8,8,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.99946,1,0,1,0.00261386,0,-0.00148282,-0.0155163,-0.0112374
4,12,12,63,12.9155,22,22,-1,-1,1,-1,0,1,3,0,3,3,0,1,-1,-5,4,0,1,0,0.0122268,0,0,0.00159745
4,12,12,64,12.9596,24,24,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.00087,0,1,1,0.00647512,0,-0.00387052,0.00708011,0
