dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
80,0.95,0.95,28,4.14293,14,14,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.97637,1,1,1,-0.140487,0.151334,-0.264293,0.0183308,-0.0842067
80,0.95,0.95,29,4.17508,22,22,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.10194,1,1,1,0.0255654,-0.0490168,0.0745222,0.00418694,-0.0908659
80,0.95,0.95,30,4.24332,17,17,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.96489,0,0,1,-0.0326359,0.0134404,-0.170509,0.068585,-0.0355346
80,0.95,0.95,31,4.25525,4,4,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.02994,0,0,1,0.120487,0.0325245,0.133711,0.186142,-0.0155755
80,0.95,0.95,32,4.33549,12,12,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.02174,1,1,1,-0.0954509,0.158635,-0.263248,-0.231039,0.02872
80,0.95,0.95,33,4.35029,6,6,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.94845,0,2,1,-0.0143238,-0.0727942,0.300091,0.0457759,-0.0654383
80,0.95,0.95,34,4.36653,20,20,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.02964,0,2,1,0.160064,0.293098,-0.257319,0.0377016,-0.00973685
80,0.95,0.95,35,4.38434,5,5,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.11548,1,1,1,0.120893,0.0867029,0.329589,0.034244,0.0917447
80,0.95,0.95,36,4.44185,3,3,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.10797,1,1,1,0.0868852,0.00303885,-0.116944,0.167571,-0.0149562
80,0.95,0.95,37,4.52286,0,0,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.88825,1,1,1,-0.0143238,-0.0385697,0.0631725,0.0467959,-0.0555634
80,0.95,0.95,38,4.53011,13,13,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.95566,0,0,1,0.0835717,-0.0341211,-0.126251,-0.102936,-0.0272519
80,0.95,0.95,39,4.65479,23,23,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.20978,1,1,1,0.149228,0.15461,0.0761063,-0.213403,-0.00905719
80,0.95,0.95,40,4.66356,1,1,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.20978,2,0,1,0.16359,0.151334,-0.116322,0.186142,0.0130639
80,0.95,0.95,41,4.70251,21,21,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.20978,1,1,1,0.15003,-0.0960613,0.0761063,-0.0112272,0.0473719
80,0.95,0.95,42,4.76873,24,24,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.13192,0,0,1,0.0799908,0.0411625,-0.0915793,0.0285164,-0.0448618
80,0.95,0.95,43,4.77747,16,16,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.07524,0,2,1,0.0213376,-0.0337968,-0.0249863,-0.025652,-0.154002
80,0.95,0.95,44,4.78308,18,18,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.95865,0,2,1,0.0588273,0.04934,0.161413,0.0961786,-0.049339
80,0.95,0.95,45,4.86948,11,11,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.13317,0,0,1,-0.101265,0.0697932,0.27289,0.147151,0.0850793
80,0.95,0.95,46,4.93623,8,8,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.13192,0,0,1,0.00786004,0.00427065,-0.189232,0.0587171,-0.0262711
80,0.95,0.95,47,4.94464,2,2,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.81072,0,0,1,0.0835717,-0.065403,-0.111296,-0.26917,-0.197712
80,0.95,0.95,48,4.96438,19,19,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.07116,1,1,1,-0.00877608,-0.036282,-0.0689241,-0.113332,0.0358522
80,0.95,0.95,49,4.98584,15,15,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.10797,0,0,1,0.120893,-0.00612125,0.0484342,0.112037,0.139042
80,0.95,0.95,50,8.05204,10,10,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-5.02559,2,1,1,-0.00211404,0.109485,-0.195587,0.0351298,-0.202373
80,0.95,0.95,51,8.07522,7,7,-1,-1,1,-1,1,0,2,0,2,2,0,1,-1,-5.18297,0,0,1,0.0371877,0.0326878,-0.146233,-0.351658,-0.217187
80,0.95,0.95,52,8.11696,9,9,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-4.87465,1,2,1,-0.00678269,0.0369091,0.00614336,-0.0151278,-0.0627369
80,0.95,0.95,53,8.14293,14,14,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-4.97637,2,1,1,-0.140487,0.151334,-0.264293,0.0183308,-0.0842067
80,0.95,0.95,54,8.17508,22,22,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5.10194,0,1,1,0.0255654,-0.0490168,0.0745222,0.00418694,-0.0908659
80,0.95,0.95,55,8.24332,17,17,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.96489,0,0,1,-0.0326359,0.0134404,-0.170509,0.068585,-0.0355346
80,0.95,0.95,56,8.25525,4,4,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-5.02994,0,1,1,0.120487,0.0325245,0.133711,0.186142,-0.0155755
80,0.95,0.95,57,8.33549,12,12,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5.02174,2,1,1,-0.0954509,0.158635,-0.263248,-0.231039,0.02872
80,0.95,0.95,58,8.35029,6,6,-1,-1,1,-1,0,1,2,0,0,2,0,1,-1,-4.94845,1,2,1,-0.0143238,-0.0727942,0.300091,0.0457759,-0.0654383
80,0.95,0.95,59,8.36653,20,20,-1,-1,1,-1,0,0,2,0,0,2,0,1,-1,-5.02964,0,3,1,0.160064,0.293098,-0.257319,0.0377016,-0.00973685
80,0.95,0.95,60,8.38434,5,5,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.11548,1,2,1,0.120893,0.0867029,0.329589,0.034244,0.0917447
80,0.95,0.95,61,8.44185,3,3,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-5.10797,0,1,1,0.0868852,0.00303885,-0.116944,0.167571,-0.0149562
80,0.95,0.95,62,8.52286,0,0,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-4.88825,1,2,1,-0.0143238,-0.0385697,0.0631725,0.0467959,-0.0555634
80,0.95,0.95,63,8.53011,13,13,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-4.95566,0,0,1,0.0835717,-0.0341211,-0.126251,-0.102936,-0.0272519
80,0.95,0.95,64,8.65479,23,23,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.20978,1,2,1,0.149228,0.15461,0.0761063,-0.213403,-0.00905719
80,0.95,0.95,65,8.66356,1,1,-1,-1,1,-1,1,1,2,0,2,2,0,1,-1,-5.20978,1,0,1,0.16359,0.151334,-0.116322,0.186142,0.0130639
80,0.95,0.95,66,8.70251,21,21,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.20978,1,2,1,0.15003,-0.0960613,0.0761063,-0.0112272,0.0473719
80,0.95,0.95,67,8.76873,24,24,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5.13192,0,0,1,0.0799908,0.0411625,-0.0915793,0.0285164,-0.0448618
80,0.95,0.95,68,8.77747,16,16,-1,-1,1,-1,1,0,2,0,0,2,0,1,-1,-5.07524,0,1,1,0.0213376,-0.0337968,-0.0249863,-0.025652,-0.154002
80,0.95,0.95,69,8.78308,18,18,-1,-1,1,-1,0,0,2,0,0,2,0,1,-1,-4.95865,0,3,1,0.0588273,0.04934,0.161413,0.0961786,-0.049339
80,0.95,0.95,70,8.86948,11,11,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5.13317,0,0,1,-0.101265,0.0697932,0.27289,0.147151,0.0850793
80,0.95,0.95,71,8.93623,8,8,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5.13192,0,0,1,0.00786004,0.00427065,-0.189232,0.0587171,-0.0262711
