dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,knot1,knot2,knot3,knot4,knot5
0.5,0.5,34,3.79591,4,4,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.99841,0,1,1,-0.132048,-0.0254963,-0.0271262,0.0903302,0.0203023
0.5,0.5,35,4.03816,14,14,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.0739,1,1,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,36,4.0489,24,24,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5,1,1,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,37,4.07814,17,17,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.94095,1,1,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,38,4.27526,13,13,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.8505,0,2,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,39,4.4445,11,11,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.06928,0,2,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,40,4.48312,12,12,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.02183,2,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
0.5,0.5,41,4.54881,1,1,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.91813,1,1,1,0.0137054,-0.382992,0.0914359,-0.0417734,-0.0635942
0.5,0.5,42,4.55779,23,23,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5,1,1,1,-0.0368037,-0.0486834,0,-0.0262714,0
0.5,0.5,43,4.5951,19,19,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5,1,1,1,-0.0690849,-0.132366,0.064228,0.14779,0
0.5,0.5,44,4.6942,20,20,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.19145,2,0,1,0,-0.0778057,0.0309562,0.0237613,0.0203023
0.5,0.5,45,4.75392,21,21,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.03961,2,0,1,0.0296665,-0.176078,-0.059424,0.160862,0.0318582
