dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
0.5,0.5,793,166.279,6,6,-1,-1,1,-1,0,0,49,30,9,19,0,1,-1,-5.13016,1,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,794,166.444,9,9,-1,-1,1,-1,1,1,50,33,9,17,0,1,-1,-4.98325,1,3,1,-0.00723016,-0.149622,0.0604326,0,-0.0616942
0.5,0.5,795,167.162,20,20,-1,-1,1,-1,0,1,50,33,9,17,0,1,-1,-5,1,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,796,167.421,3,3,-1,-1,1,-1,0,1,49,29,7,20,0,1,-1,-5.08423,3,4,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,797,167.443,12,12,-1,-1,1,-1,0,1,49,29,7,20,0,1,-1,-4.92248,0,2,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,798,168.347,17,17,-1,-1,1,-1,1,1,50,31,12,19,0,1,-1,-4.91,1,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,799,168.838,19,19,-1,-1,1,-1,0,1,50,32,10,18,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,800,169.067,13,13,-1,-1,1,-1,1,1,49,26,12,23,0,1,-1,-5.15135,3,5,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,801,169.444,9,9,-1,-1,1,-1,1,1,51,34,9,17,0,1,-1,-4.98325,1,3,1,-0.00723016,-0.149622,0.0604326,0,-0.0616942
0.5,0.5,802,169.948,5,5,-1,-1,1,-1,0,1,49,27,13,22,0,1,-1,-5.06605,2,3,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,803,170.066,23,23,-1,-1,1,-1,0,0,49,26,15,23,0,1,-1,-5.03932,11,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,804,170.162,20,20,-1,-1,1,-1,1,1,51,33,10,18,0,1,-1,-5,1,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,805,170.279,6,6,-1,-1,1,-1,0,1,50,30,9,20,0,1,-1,-5.13016,1,3,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,806,170.421,3,3,-1,-1,1,-1,1,1,50,29,8,21,0,1,-1,-5.08423,3,4,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,807,170.443,12,12,-1,-1,1,-1,1,1,50,29,7,21,0,1,-1,-4.92248,0,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,808,171.347,17,17,-1,-1,1,-1,1,0,51,32,12,19,0,1,-1,-4.91,1,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,809,171.838,19,19,-1,-1,1,-1,1,0,51,32,11,19,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,810,172.067,13,13,-1,-1,1,-1,1,1,50,27,12,23,0,1,-1,-5.15135,3,5,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,811,172.948,5,5,-1,-1,1,-1,1,1,50,27,13,23,0,1,-1,-5.06605,1,2,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,812,173.162,20,20,-1,-1,1,-1,1,0,52,34,10,18,0,1,-1,-5,0,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,813,173.279,6,6,-1,-1,1,-1,1,1,51,30,9,21,0,1,-1,-5.13016,1,3,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,814,173.421,3,3,-1,-1,1,-1,1,0,51,30,8,21,0,1,-1,-5.08423,3,3,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,815,173.443,12,12,-1,-1,1,-1,1,1,51,30,7,21,0,1,-1,-4.92248,0,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,816,173.524,24,24,-1,-1,1,-1,1,1,48,27,8,21,0,0,173.524,-5.01884,3,5,0,0.111229,-0.102711,0.0627661,0.0485046,0.0103058
