dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,knot1_avg,knot1_std,knot2_avg,knot2_std,knot3_avg,knot3_std,knot4_avg,knot4_std,knot5_avg,knot5_std
0.5,0.5,4350.03,1239278,-4.99955,0.0482619,1021,3417,1,0.144914,4,3.51255,4,3.4821,8,6.42192,-0.00203098,0.0419442,-0.0448062,0.0615987,0.00120837,0.0414287,0.00281675,0.0451208,0.007837,0.0490386
0.5,0.5,4400.03,1253716,-4.999,0.0486171,1021,2348,1,0.144914,3,2.59692,3,2.6264,6,4.67204,-0.00287741,0.0418122,-0.0460584,0.0609318,0.000201726,0.0430781,0.00039492,0.043972,0.00761162,0.0484849
0.5,0.5,4450.03,1268062,-4.99942,0.0510807,1010,3451,1,0.1,4,3.48281,4,3.41643,8,6.34271,-0.00322091,0.0424306,-0.0440553,0.0595386,-0.000598512,0.0434483,0.000681127,0.0444905,0.00644085,0.0480545
0.5,0.5,4500.03,1282307,-4.99969,0.0502895,1005,2283,1,0.104881,3,2.52111,3,2.48837,6,4.34235,-0.0032424,0.0421814,-0.0454415,0.0610613,0.000521386,0.0431755,0.000391021,0.0437129,0.00479631,0.0491853
0.5,0.5,4550.03,1296557,-4.99731,0.0508922,1008,3404,1,0.1,3,3.53299,4,3.36155,8,6.13172,-0.0033389,0.0426269,-0.0462651,0.0603808,0.00111749,0.0440505,-0.00212741,0.0439641,0.00470904,0.0478176
0.5,0.5,4600.03,1310913,-4.99757,0.0506475,1013,2255,1,0.122474,3,2.52765,3,2.4682,6,4.34108,-0.0049538,0.0443419,-0.0494878,0.0624145,0.000637441,0.0467371,-0.00298645,0.0441348,0.00546267,0.0479869
0.5,0.5,4650.03,1325255,-4.99817,0.0515882,1016,3405,1,0.126491,4,3.4373,3,3.46958,8,6.12854,-0.00375175,0.0457947,-0.0501508,0.0633188,0.000788061,0.0479135,-0.0034493,0.0456586,0.00467426,0.0467577
0.5,0.5,4700.03,1339602,-4.99812,0.0521287,1014,2352,1,0.118322,3,2.5975,3,2.48737,6,4.46744,-0.00348537,0.0443546,-0.0548876,0.0655003,0.00161313,0.0498118,-0.00314457,0.0461444,0.00480658,0.0465365
0.5,0.5,4750.03,1353940,-4.99852,0.0533756,1011,3469,1,0.104881,3,3.47275,3,3.39544,7,6.0464,-0.00280982,0.043641,-0.0555793,0.0650677,0.00138243,0.051213,-0.00327511,0.0452731,0.00620795,0.0478111
0.5,0.5,4800.03,1368279,-5.0006,0.052841,1013,2303,1,0.114018,2,2.54185,2,2.61515,5,4.25464,-0.00392371,0.0429698,-0.0563531,0.0650061,0.00378147,0.0503368,-0.0044211,0.0447876,0.00583518,0.0479351
