dForagingSD,dForagingMean,gtime,pertime_foraging,num_foraging,num_choices,nest_id
0.5,0.5,1100.02,0.420561,30,61,4444
0.5,0.5,1250.02,0.416667,40,82,4864
0.5,0.5,1900.02,0.428571,56,112,7304
0.5,0.5,2150.02,0.438202,52,102,8314
0.5,0.5,2400.02,0,0,1,10898
0.5,0.5,2850.02,0.564987,71,112,11184
0.5,0.5,3250.02,0.483871,25,45,13751
0.5,0.5,4700.03,0.391304,6,13,20270
0.5,0.5,5800.03,0.488987,74,132,23109
0.5,0.5,5800.03,0.5,4,7,25180
0.5,0.5,5950.03,0.457627,36,68,24917
0.5,0.5,6000.03,0.272727,1,3,25926
0.5,0.5,6500.03,0.461538,16,30,27716
0.5,0.5,7000.03,0.364486,13,30,30055
0.5,0.5,7800.03,0.391304,6,13,33998
0.5,0.5,9100.03,0.529412,12,20,39481
0.5,0.5,9150.03,0.561151,104,165,37690
0.5,0.5,9200.03,0.36,3,7,40274
0.5,0.5,9250.03,0.504587,110,191,37606
0.5,0.5,9500.03,0.555556,5,8,41537
0.5,0.5,9850.03,0.473684,24,44,42624
0.5,0.5,9950.03,0.580247,94,145,41373
