dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,3700.06,1056437,-5.00264,0.0438364,1019,2318,1,0.13784,3,2.57041,3,2.43598,6,4.36704,-0.00646436,0.0448211,-0.0458428,0.0599083,-0.00251073,0.0447776,0.00816781,0.0466456,-0.00329227,0.0450467
0.5,0.5,3750.11,1070905,-5.00258,0.0443566,1022,3490,1,0.148324,4,3.40118,3,3.35932,8,6.04888,-0.00670575,0.0446327,-0.0456132,0.0593815,-0.00146669,0.0463675,0.0109122,0.0482147,-0.00376674,0.0456342
0.5,0.5,3800.11,1085369,-5.00314,0.0443014,1023,2371,1,0.151658,3,2.55284,3,2.64197,6,4.52537,-0.0076645,0.0446644,-0.0473218,0.0588796,-0.00110208,0.0459862,0.00999699,0.048295,-0.00340657,0.046649
0.5,0.5,3850.11,1099856,-5.0034,0.043628,1022,3518,1,0.154919,3,3.35172,3,3.505,7,6.10385,-0.00695622,0.0455773,-0.0478736,0.0595662,-0.00160936,0.0479962,0.0101204,0.0476979,-0.00398619,0.0479004
0.5,0.5,3900.11,1114363,-5.00191,0.0441516,1026,2336,1,0.167332,2,2.5774,3,2.52111,5,4.3755,-0.00764525,0.0469384,-0.0479895,0.061441,-0.00247787,0.047963,0.00828399,0.0480441,-0.00450348,0.0489678
0.5,0.5,3950.11,1128875,-5.00379,0.0444077,1022,3535,1,0.154919,3,3.34948,3,3.44804,7,5.92874,-0.00684484,0.0476081,-0.0497806,0.0622521,-0.00302442,0.0487962,0.00710953,0.0488559,-0.00606779,0.0479589
0.5,0.5,4000.11,1143315,-5.00544,0.0442363,1020,2354,1,0.148324,3,2.36474,3,2.35181,6,4.10427,-0.00720715,0.0487439,-0.0515092,0.061622,-0.00125538,0.0479634,0.00717225,0.0499228,-0.00628338,0.0485933
0.5,0.5,4050.11,1157813,-5.00556,0.0435732,1022,3518,1,0.154919,3,3.27338,3,3.27872,7,5.78109,-0.00828719,0.0498705,-0.0518121,0.0620812,-0.00134754,0.0480525,0.00879688,0.0527753,-0.00716928,0.0497441
0.5,0.5,4100.11,1172238,-5.00586,0.0415385,1019,2363,1,0.144914,2,2.53219,2,2.5316,5,4.18557,-0.00866188,0.04966,-0.0554903,0.0633198,-0.0019471,0.0479689,0.00982111,0.0530801,-0.00852043,0.0509908
0.5,0.5,4150.11,1186754,-5.0046,0.0427573,1022,3487,1,0.167332,3,3.20967,3,3.13433,7,5.59142,-0.00782531,0.0508409,-0.0575074,0.0650131,-0.000986326,0.0482599,0.00865289,0.0531725,-0.00783081,0.052392
