dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
12,4,12,52.0035,6841,-4.99998,0.000582769,1001,367,1,0.0316228,1,1.114,1,1.09864,2,1.52118,0,0,-2.79721e-06,0.000124123,4.87667e-06,0.00017721,-1.21281e-05,0.000427318,7.33621e-06,0.000349452
12,4,12,104.004,13430,-5,0.000618233,1004,516,1,0.0632456,1,1.31225,1,1.33417,3,1.63646,-1.86161e-06,0.000241841,1.53539e-05,0.000381224,-2.46935e-06,0.000245152,-2.00468e-05,0.000515478,4.0419e-05,0.000683593
12,4,12,156.003,20006,-5.00002,0.000801747,1008,915,1,0.1,2,1.65982,2,1.64469,4,2.50918,1.72397e-05,0.000450426,1.20012e-05,0.000518185,-2.60794e-06,0.000575167,-1.16803e-05,0.000822846,3.78521e-05,0.000885316
12,4,12,208.003,26676,-4.99999,0.000982754,1013,781,1,0.114018,1,1.7,1,1.65892,3,2.2059,2.76968e-05,0.000626555,4.30922e-06,0.000516887,5.48867e-06,0.000736586,-2.3917e-05,0.000815264,1.50524e-05,0.000929383
12,4,12,260.004,33305,-4.99999,0.00100113,1009,1229,1,0.0948683,2,1.91781,2,1.84635,5,2.77795,1.31472e-05,0.000824561,-9.17687e-07,0.0005799,1.09078e-05,0.000934711,-1.91242e-05,0.000945242,2.36962e-05,0.00125985
12,4,12,312.003,39906,-5,0.00104643,1011,904,1,0.104881,2,1.56077,2,1.47614,4,2.25144,-1.09485e-05,0.000956277,-2.35245e-05,0.00080184,2.33807e-07,0.00103247,-3.76322e-05,0.00100087,-1.73112e-05,0.0013355
12,4,12,364.003,46538,-4.99998,0.00117694,1015,1387,1,0.122474,2,2.11376,2,2.05256,5,3.10306,-3.4241e-05,0.001195,-5.18065e-05,0.000908091,3.94687e-05,0.00113957,-5.40832e-05,0.00117042,-6.74087e-05,0.00133366
12,4,12,416.003,53019,-4.99997,0.00117735,1013,930,1,0.114018,2,1.65831,2,1.60156,4,2.44806,-7.0105e-05,0.00140756,-2.88282e-05,0.000923039,3.13826e-05,0.00121379,-6.34032e-05,0.00111066,-6.96345e-05,0.0013986
12,4,12,468.003,59671,-4.99997,0.00115934,1014,1349,1,0.118322,2,2.18861,2,2.19135,5,3.32596,-6.73022e-05,0.0014307,-2.29704e-05,0.000918973,3.45489e-05,0.00120754,-5.72713e-05,0.00111464,-9.30308e-05,0.00125949
12,4,12,520.003,66294,-4.99996,0.00114486,1015,975,1,0.122474,2,1.67481,2,1.68523,4,2.57779,-8.44805e-05,0.00160868,-2.75643e-05,0.00102241,2.91037e-05,0.00135651,-7.08858e-05,0.00112023,-3.95976e-05,0.00142108
12,4,12,572.007,72893,-5,0.0012623,1015,1413,1,0.122474,2,2.19317,2,2.20477,5,3.23898,-8.75521e-05,0.00179013,-5.95235e-05,0.00117548,3.14254e-05,0.00142825,-6.7586e-05,0.00127493,-8.27794e-05,0.00153712
12,4,12,624.003,79561,-5.00002,0.0012071,1016,1038,1,0.126491,2,1.66493,2,1.70029,4,2.5836,-7.88198e-05,0.00174661,-4.07717e-05,0.00116578,-6.44239e-06,0.00148243,-9.30289e-05,0.00125311,-7.72731e-05,0.00151011
12,4,12,676.003,86159,-5,0.00137169,1015,1502,1,0.122474,2,2.13752,2,2.23002,5,3.27384,-0.000114869,0.00185417,-4.40379e-05,0.00114631,-2.32949e-05,0.00151207,-0.000107845,0.00139894,-0.000114652,0.00156096
12,4,12,728.003,92775,-4.99999,0.00138624,1017,1103,1,0.130384,2,1.78634,2,1.80083,4,2.72874,-0.000160591,0.00189436,-4.74992e-05,0.00115035,-3.86534e-05,0.00156942,-7.47891e-05,0.00139833,-0.000115995,0.00166604
12,4,12,780.003,99417,-5,0.00136021,1016,1554,1,0.126491,2,2.272,3,2.07196,5,3.48066,-0.00017672,0.00175562,-5.19485e-05,0.00118281,-4.28601e-05,0.00158336,-0.000122004,0.00154583,-0.00013044,0.00163111
12,4,12,832.007,105995,-5.00004,0.00134775,1015,1119,1,0.122474,2,1.86145,2,1.87803,5,2.71035,-0.000184497,0.00179551,-3.34074e-05,0.00127083,-1.82589e-05,0.00166073,-0.000141416,0.00152578,-0.00012279,0.00157682
12,4,12,884.003,112584,-4.99999,0.00125657,1013,1554,1,0.122474,3,2.1631,2,2.28779,5,3.60403,-0.000171016,0.00174528,-3.57171e-05,0.00132864,-2.49819e-05,0.00173258,-0.000151841,0.00143791,-0.000115516,0.00170356
12,4,12,936.004,119255,-5.00004,0.00134265,1013,1146,1,0.114018,2,1.88521,2,1.78438,5,2.79034,-0.000142762,0.00173284,-5.65153e-06,0.00129807,-1.93444e-05,0.00181102,-0.000145208,0.00143982,-0.000100429,0.00170654
12,4,12,988.004,125862,-5.00003,0.001344,1014,1605,1,0.118322,3,2.13542,2,2.28035,5,3.66142,-8.8831e-05,0.00173195,2.53549e-05,0.00132824,-2.66905e-05,0.00186258,-0.000150804,0.00151764,-0.000110839,0.00187458
12,4,12,1040,132449,-5.00005,0.00141444,1010,1143,1,0.109545,2,1.86922,2,1.91494,5,2.83214,-9.15372e-05,0.00180525,2.44509e-05,0.00138865,-5.27326e-05,0.00192811,-0.00016948,0.00165154,-0.000100719,0.00187729
12,4,12,1092,139019,-5.00005,0.00158135,1013,1554,1,0.114018,2,2.26031,3,2.17164,5,3.57757,-0.000122681,0.00190891,2.74191e-05,0.0013324,-8.14167e-05,0.00189259,-0.000150931,0.00173569,-8.83554e-05,0.00195439
12,4,12,1144.01,145649,-5.00006,0.00168256,1014,1189,1,0.118322,2,1.92094,2,1.9152,5,2.755,-9.58534e-05,0.0018377,9.62963e-07,0.00132505,-7.3586e-05,0.00192977,-0.000157056,0.00180427,-5.7393e-05,0.00197923
12,4,12,1196.01,152311,-5.00002,0.00173575,1012,1657,1,0.109545,2,2.37823,3,2.07292,6,3.42505,-8.29385e-05,0.00189467,2.24508e-05,0.00172302,-7.2725e-05,0.00201767,-0.00013673,0.00188996,-2.43387e-06,0.00203739
12,4,12,1248,158862,-5,0.00178106,1011,1258,1,0.104881,2,1.94679,2,2.01221,5,2.84658,-8.79459e-05,0.00194915,2.96756e-05,0.00181311,-6.59521e-05,0.00198107,-0.000187279,0.00199534,2.37656e-06,0.00207591
12,4,12,1300.01,165417,-5,0.00177243,1012,1684,1,0.109545,3,2.20295,3,2.18426,6,3.50856,-5.4549e-05,0.0019219,1.94115e-05,0.00173351,-9.54097e-05,0.00209397,-0.000183167,0.00201131,1.44442e-05,0.00210644
12,4,12,1352.01,172088,-4.99999,0.00186324,1013,1244,1,0.122474,2,2.07654,2,1.9685,5,2.93479,-3.59291e-05,0.00185577,2.525e-06,0.00174299,-9.01863e-05,0.00209704,-0.000180465,0.00203249,2.56916e-05,0.00222259
12,4,12,1404.01,178659,-5,0.00188185,1014,856,1,0.118322,2,1.46731,2,1.54758,4,2.22126,-4.42635e-05,0.00198718,-7.26006e-05,0.00174238,-0.000134235,0.00214622,-0.000156739,0.00199869,-2.81725e-06,0.00224063
12,4,12,1456.01,185294,-4.99998,0.00210832,1012,1344,1,0.109545,2,2.02089,2,2.11069,5,3.04779,-2.54239e-05,0.00207723,-4.40829e-05,0.00201735,-0.000152249,0.00204224,-8.60941e-05,0.00202581,-4.0711e-05,0.0023929
12,4,12,1508.01,191864,-5.00003,0.00215281,1009,881,1,0.122474,2,1.51822,2,1.52315,4,2.22778,-1.48415e-05,0.00196471,-2.80901e-05,0.00206309,-0.000121626,0.00214335,-0.000114454,0.00199538,-4.09683e-05,0.0024114
12,4,12,1560.01,198522,-5.00002,0.00224962,1013,1318,1,0.122474,2,2.03985,2,2.14383,5,3.11913,2.30393e-05,0.00193391,-2.74839e-05,0.0020389,-8.22492e-05,0.00212912,-0.000121061,0.00202094,-8.10749e-05,0.00248657
12,4,12,1612.01,205119,-5.00004,0.00233305,1012,920,1,0.118322,2,1.57892,2,1.61431,4,2.39896,2.57833e-05,0.00191346,-3.24358e-05,0.00195543,-6.07804e-05,0.00214844,-8.78832e-05,0.00207788,-5.95751e-05,0.00253903
