dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,relatedness,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
80,1,1,1000,266123,-4.99883,0.0179782,1056,5129,1,0.293258,1,1.31491,1,1.36308,2,2.19841,0.492089,-0.00126843,0.0151625,-0.00140958,0.0127994,0.000498799,0.015616,0.000795698,0.0121072,-0.000144493,0.0124162
80,1,1,2000,535835,-5.00078,0.0170568,1066,5105,1,0.309839,1,1.40214,1,1.35388,2,2.28495,0.525869,-0.00194017,0.0188974,4.52302e-05,0.0148345,0.000598177,0.0177149,0.000250091,0.0146768,-0.00125655,0.0170773
80,1,1,3000,807660,-4.99953,0.0198453,1060,5085,1,0.303315,1,1.35019,1,1.41704,2,2.30803,0.514447,-4.98883e-05,0.0195756,-0.000988101,0.0173089,-0.00343223,0.021966,-0.000531277,0.0159686,0.000845623,0.0220664
80,1,1,4000,1078318,-4.99984,0.0212118,1056,5108,1,0.296648,1,1.36602,1,1.35499,2,2.26583,0.551857,-0.000617414,0.0192858,-0.000302273,0.0201629,-0.00105933,0.0224758,-0.000474126,0.0154958,-0.000507962,0.0232699
80,1,1,5002,1352258,-4.9999,0.0231425,1092,5358,1,0.349285,1,1.48054,1,1.51987,2,2.52705,0.495768,-0.00318202,0.0268686,-0.00308729,0.0212417,-0.00094905,0.0234176,-5.60523e-05,0.0193856,0.00271813,0.0240829
80,1,1,6002,1622082,-4.99929,0.0277004,1057,5186,1,0.273861,1,1.32514,1,1.50599,2,2.34009,0.551302,9.448e-05,0.0256465,-6.21366e-05,0.0190117,-0.00487689,0.026247,-0.000424804,0.0214082,0.00283592,0.0236854
80,1,1,7002,1891258,-4.99782,0.0282698,1082,5206,1,0.319374,1,1.40784,1,1.57892,2,2.47972,0.486325,0.00221516,0.0302303,-0.0010626,0.022834,-0.00381199,0.0280923,0.00152811,0.0257998,0.00430336,0.0307897
80,1,1,8002,2164626,-4.99476,0.0297833,1076,5321,1,0.303315,1,1.28996,1,1.42302,2,2.26958,0.534085,0.00256207,0.0341985,0.00109668,0.0269604,-0.00657238,0.0308299,0.0029874,0.0259416,0.00392929,0.0295574
80,1,1,9002,2437216,-4.99481,0.0301652,1063,5272,1,0.258844,1,1.44014,1,1.42056,2,2.35797,0.539119,0.000938127,0.0328537,-0.000960751,0.0258782,-0.00794791,0.0327743,0.00234395,0.025988,0.00291477,0.0312224
80,1,1,10002,2707028,-4.99423,0.0327468,1076,5189,1,0.331662,1,1.52938,1,1.47377,2,2.52765,0.530888,0.00381982,0.041613,-0.00224435,0.030212,-0.00915994,0.0338662,0.00590774,0.0285789,0.00366816,0.033806
80,1,1,11002,2977133,-4.99504,0.0356542,1071,5225,1,0.277489,1,1.46969,1,1.46185,2,2.48857,0.545204,0.00435236,0.0442218,-0.00128507,0.0388409,-0.00803551,0.0354296,0.00678071,0.0279376,0.00528218,0.0340475
80,1,1,12002,3248871,-4.9969,0.0331432,1059,5280,1,0.250998,1,1.54596,1,1.33267,2,2.43967,0.578021,0.00426165,0.0389831,-0.00311382,0.0391708,-0.00811878,0.0363595,0.00751674,0.0286657,0.003672,0.0352163
80,1,1,13002,3517605,-4.996,0.0372693,1067,5214,1,0.294958,1,1.46663,1,1.39642,2,2.38348,0.532402,0.00359179,0.0399947,-0.00214179,0.0370918,-0.00728186,0.0386143,0.010256,0.0328269,0.00772362,0.0377059
80,1,1,14002,3786947,-4.99792,0.0361852,1060,5083,1,0.268328,1,1.37295,1,1.48694,2,2.3736,0.494156,0.0010641,0.0418096,-0.00118633,0.0381013,-0.0059324,0.0409702,0.0111947,0.034109,0.00365891,0.0391464
80,1,1,15002,4056852,-5.00057,0.0395623,1073,5322,1,0.330151,1,1.35831,1,1.33379,2,2.22711,0.451783,-0.00185603,0.0429788,-0.00280763,0.0448378,-0.00675756,0.0438826,0.0104008,0.0379658,0.00317301,0.0420962
80,1,1,16002,4327713,-5.00087,0.0357139,1063,5204,1,0.266458,1,1.42408,1,1.33828,2,2.3063,0.575946,-0.00396422,0.0465723,0.000744096,0.0436089,-0.00769393,0.0511334,0.0130603,0.0356711,-0.00211728,0.043774
80,1,1,17002,4600258,-4.9993,0.0316561,1083,5280,1,0.317805,1,1.42548,1,1.50765,2,2.44274,0.516332,-0.00688817,0.0452581,0.00104338,0.0416587,-0.00806379,0.055785,0.0123396,0.0399609,0.00285266,0.0442134
80,1,1,18002,4872874,-4.99648,0.0334544,1092,5300,1,0.352136,1,1.45602,1,1.48425,2,2.49139,0.537719,-0.00737149,0.0489698,0.00197961,0.0427947,-0.00608573,0.0584098,0.0132392,0.0391215,-0.000803299,0.0429736
80,1,1,19002,5146366,-4.99555,0.0345421,1081,5251,1,0.324037,1,1.54272,1,1.48189,2,2.52151,0.557989,-0.00159958,0.0515261,0.000216865,0.042956,-0.012455,0.0632646,0.0148855,0.0397035,-0.000476585,0.0458622
80,1,1,20002,5415560,-4.99307,0.0298973,1057,5209,1,0.258844,1,1.35314,1,1.41527,2,2.31603,0.599739,0.00202344,0.0544683,0.000233017,0.0461085,-0.0151219,0.0700164,0.0128765,0.0427745,0.00106953,0.0464688
80,1,1,21002,5686670,-4.99633,0.0314155,1078,5204,1,0.319374,1,1.49733,1,1.46663,2,2.51257,0.580468,-0.00170488,0.0542501,-0.00433404,0.0445879,-0.0134962,0.0728877,0.0138596,0.0413553,0.000156803,0.0501318
80,1,1,22002,5956976,-4.99649,0.0313416,1067,5180,1,0.281069,1,1.43805,1,1.45396,2,2.41537,0.555517,0.00095707,0.0607532,-0.00699093,0.0472005,-0.0148299,0.0746087,0.0174885,0.0452506,-4.98316e-05,0.0503711
