dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,2120.09,626062,0.00105494,0.0362466,-0.00288484,0.0325977,-4.99971,0.0339704,1039,4662,1,0.212132,3,2.99015,3,2.88964,6,5.36349
0.5,1,2130.09,629054,0.000818637,0.0362213,-0.00287298,0.0316073,-4.99967,0.0341259,1041,5048,1,0.216795,3,3.17884,3,3.12426,6,5.80103
0.5,1,2140.09,631998,0.00116842,0.0363584,-0.00303429,0.0320216,-4.99975,0.0342921,1042,5387,1,0.223607,3,3.37224,3,3.42914,6,6.3042
0.5,1,2150.09,635001,0.00137241,0.0367315,-0.00369963,0.031733,-4.99985,0.0343806,1037,5770,1,0.212132,3,3.57057,3,3.63689,6,6.72101
0.5,1,2160.09,637984,0.00121861,0.0372508,-0.00399202,0.0315183,-4.99976,0.0346775,1039,6134,1,0.216795,3,3.70729,3,3.69621,7,6.85624
0.5,1,2170.09,640961,0.00127827,0.0371457,-0.00351225,0.0320551,-4.99942,0.0350546,1038,6541,1,0.214476,3,3.85889,3,3.81484,7,7.11857
0.5,1,2180.09,643937,0.00112493,0.0368201,-0.00407432,0.0336684,-4.99974,0.0352963,1032,6921,1,0.194936,3,3.95209,3,3.87853,7,7.31847
0.5,1,2190.09,646899,0.00121427,0.0362697,-0.00426869,0.0341734,-4.99923,0.0349275,1029,7310,1,0.187083,3,4.07075,3,3.99387,7,7.57153
0.5,1,2200.09,649839,0.0016711,0.0364384,-0.0037938,0.0338988,-4.99938,0.0345391,1030,3854,1,0.184391,2,2.62317,2,2.5634,5,4.50311
0.5,1,2210.09,652779,0.00168335,0.0363691,-0.00402355,0.0339659,-4.99963,0.034866,1033,4254,1,0.197484,2,2.88513,2,2.80785,5,4.93457
0.5,1,2220.09,655767,0.00201033,0.0367347,-0.00398844,0.0351007,-4.9994,0.0355088,1039,4652,1,0.212132,3,3.01463,2,2.98848,6,5.30292
0.5,1,2230.09,658753,0.00162051,0.0366092,-0.00407663,0.0350811,-4.9992,0.0356124,1039,5049,1,0.212132,3,3.1637,3,2.94873,6,5.57171
0.5,1,2240.09,661747,0.00144003,0.0367508,-0.00461184,0.0353304,-4.99918,0.0352631,1039,5438,1,0.216795,3,3.38127,3,3.13002,6,5.98932
